un_059010_0010#0,"""¿Es Alma?"""
un_059010_0020#0,"""Oh, <%me><br>Y la segunda generación.<br>Estoy celosa de ustedes."""
un_059010_0030#0,"""1. ¿No tienes que quedarte en el puente?"""
un_059010_0040#0,"""2. ¿Estas buscando a alguien?"""
un_059010_0050#0,"""No es que solo pueda permanecer en el puente."""
un_059010_0060#0,"""Bueno, no hay nadie que pueda hablar conmigo en el puente, así que estoy solo dando un paseo."""
un_059010_0070#0,"""No, no, es solo una<br>caminata, un cambio de ritmo..."""
un_059010_0080#0,"""Además, incluso si lo encontrara, no podría<br>hablarle. Bueno..."""
un_059010_0090#0,"""Oh, ya veo.<br>Alma, además de nosotros.<br>¿Nadie te ve?"""
un_059010_0100#0,"""Sí, asi son las cosas. Además,<br>ha pasado cuarenta años desde que estuve aquí."""
un_059010_0110#0,"""Me pregunto si sera bastante divertido... Mirar alrededor de está manera."""
un_059010_0120#0,"""Por cierto, l@s dos.<br>Como les dije, nadie mas puede verme."""
un_059010_0130#0,"""En otras palabras, en está situación ahora ustedes estan hablando al espacio vacío, aparte de ustedes dos no hay nada.<br>Son personas genuinas y extrañas, supongo..."""
un_059010_0140#0,"""¿No estás aquí tampoco?..."""
