st_052080_0010#0,"""Kalau dipikir-pikir... Harriet bilang \""negara ini\"", berarti ada negara lainnya juga, ya?"""
st_052080_0020#0,"""Iya, itu benar."""
st_052080_0025#0,"""Kontinen ini terbagi dalam empat negara, di utara, selatan, timur, dan barat."""
st_052080_0030#0,"""Negara ini disebut Cuent. Ini adalah negara di selatan, terkenal dengan alam dan ilmu sihirnya."""
st_052080_0040#0,"""Aku adalah anak kedua dari almarhum Raja Cuent."""
st_052080_0050#0,"""1. Kenapa kamu bertarung?"""
st_052080_0060#0,"""2. Kamu seorang putri?"""
st_052080_0070#0,"""Seperti yang aku katakan sebelumnya, tujuanku adalah untuk menjadikan negara ini damai kembali."""
st_052080_0080#0,"""Karena itu, kita memerlukan seorang pemimpin. Karena aku keturunan bangsawan, aku harus berdiri di depan rakyat."""
st_052080_0090#0,"""Untuk membantumu mengerti, ya, aku adalah bangsawan."""
st_052080_0100#0,"""Meskipun kamu adalah seorang bangsawan, ada saat di mana kamu harus bertarung."""
st_052080_0110#0,"""Perdana Menteri Lutz, yang tenggelam dalam kekuasaan dan kekayaan yang telah diberikan Ephimera..."""
st_052080_0120#0,"""Dia melakukan kudeta yang menewaskan ayahku, dan juga membuat kami diburu di kerajaan kami sendiri."""
st_052080_0130#0,"""Sekarang Lutz menyebut dirinya \""Raja\"", dan membebani para rakyat dengan melakukan ekspansi dan memamerkan kekuasaannya."""
st_052080_0140#0,"""Sebagai bangsawan, kami harus menggulingkan kezaliman Lutz."""
st_052080_0150#0,"""Kita tidak boleh membiarkan negeri ini dibawa ke dalam perang tidak berguna oleh orang bodoh."""
st_052080_0160#0,"""<%me>...<br>Ada seseorang yang aku ingin kamu temui, untuk membicarakan masa depan negeri ini."""
