st_058180_0010#0,"""...Welcome home."""
st_058180_0020#0,"""We're back."""
st_058180_0030#0,"""Xiao, how's the black hole...?"""
st_058180_0040#0,"""Don't worry. Right around the time you two got back, it vanished."""
st_058180_0050#0,"""We received word that the black hole near Earth disappeared at the same time."""
st_058180_0053#0,"""...Does that mean Omega disappeared too?"""
st_058180_0056#0,"""Omega is the physical manifestation of the Akashic Record. It'll keep on going, just as it always has. Without any immediate threats, of course."""
st_058180_0060#0,"""You two have done enough. The world is safe thanks to you... I'll take it from here."""
st_058180_0070#0,"""[Persona] is..."""
st_058180_0080#0,"""[Profound Darkness] is..."""
st_058180_0090#0,"""Their readings have completely vanished.<br>We aren't picking any up near Naberius either."""
st_058180_0100#0,"""Based on the data, we can say they're completely gone."""
st_058180_0110#0,"""Still... it's also true that [Persona] lent you their power."""
st_058180_0120#0,"""...Yeah. I felt it too. It was faint, but I could still sense it."""
st_058180_0130#0,"""Inside of you, they were... They had a new kind of warmth... You're making some progress."""
st_058180_0140#0,"""You and Matoi must be exhausted from working nonstop. Why don't you take a while to get yourselves rested?"""
st_058180_0150#0,"""Yeah. If you don't go in for your medical checks, you'll get yelled at."""
st_058180_0160#0,"""You too, Xiera. I can handle the Bridge."""
st_058180_0170#0,"""What?! Even me?"""
st_058180_0180#0,"""You've just saved an unknown world. That's definitely taken its toll on you too. A short break won't hurt."""
st_058180_0190#0,"""Never in a million years did I think Xiao would ever praise me like that... You live and you learn!"""
st_058180_0200#0,"""We went through a lot, but all's well that ends well, right?"""
st_058180_0210#0,"""...Indeed. I would like thank you once again for your help in that world."""
st_058180_0220#0,"""Varuna...?!"""
st_058180_0225#0,"""You should only exist in Omega, so how are<br>you...?!"""
st_058180_0230#0,"""I am the same as you. That is all."""
st_058180_0240#0,"""<%me>. Please, this way."""
st_058180_0250#0,"""I will take you to my liege."""
st_058180_0260#0,"""...Varuna. What exactly are you after?"""
st_058180_0270#0,"""I am after nothing. Everything I do is for her sake."""
name01#0,"""???"""
name02#0,"""???"""
