st_055150_0001#0,"""A.P.241/11/7 11:00"""
st_055150_0010#0,"""Yo, <%me>.<br>Look who had to show up."""
st_055150_0020#0,"""Enga, it's been a while."""
st_055150_0030#0,"""What's with the sudden appearance?"""
st_055150_0040#0,"""Yeah, it sure has. Although, we've been relying on ARKS almost constantly this whole time."""
st_055150_0050#0,"""Xiera called me in. Since I'm more or less the representative of Earth here."""
st_055150_0060#0,"""Since the Earth side isn't unrelated to what's been happening with the Akashic Record, I briefed him on the situation."""
st_055150_0070#0,"""From what I heard, it sounds like the trouble on Earth is partially to blame."""
st_055150_0080#0,"""Creating an entire world is on a different scale but... Well, it's more or less the same as what Deus Esca did."""
st_055150_0090#0,"""Ah, things on Earth are the same as ever though. Hitsugi and Aru are doing well."""
st_055150_0100#0,"""Now and then some Phantoms appear, but Earth Guide and Mother Cluster have been teaming up to deal with them."""
st_055150_0110#0,"""And if anything bigger shows up, we have ARKS to lend a hand. There haven't really been any problems."""
st_055150_0120#0,"""So thanks to all of you, life on Earth has been pretty peaceful."""
st_055150_0130#0,"""Come to think of it, Aratron and the number freak are on a business trip to America right now."""
st_055150_0140#0,"""Apparently, something strange has been noticed in space and they're helping with the analysis."""
st_055150_0150#0,"""Speak of the devil. It's Miss Numbers herself.<br>Do I have to take it? ...Probably."""
st_055150_0160#0,"""Hey, 10% sexy guy!<br>You're supposed to pick up within 2 rings!"""
st_055150_0170#0,"""Ahh, give me a break! Just tell us why you called already!"""
st_055150_0180#0,"""Huh? Are you over in Oracle? What are you doing there?"""
st_055150_0190#0,"""They asked me to come, obviously. Things have gotten pretty serious on the Oracle side."""
st_055150_0200#0,"""Well, this is serious too! That's why I'm calling! If things are getting serious on the Oracle side, then they're super serious here! 200% serious!"""
st_055150_0210#0,"""Huh? What do you mean?"""
st_055150_0220#0,"""Hoho, this is hopeless.<br>I'll explain instead."""
st_055150_0230#0,"""Gramps? ...Then it must be serious after all."""
st_055150_0240#0,"""What the heck's that supposed to mean, 10% sexy guy!"""
st_055150_0250#0,"""Settle down, Och. The ARKS members will want to hear this too."""
st_055150_0260#0,"""A black hole has suddenly formed, not too far outside of the solar system."""
st_055150_0270#0,"""The distance being what it is, there's<br>no immediate cause for concern, but..."""
st_055150_0280#0,"""...It just appeared, without any sign of<br>a supernova or other possible cause."""
st_055150_0290#0,"""More urgently, the readings show it's growing at an alarming rate.<br>Nothing about it is normal."""
st_055150_0300#0,"""So if this black hole or whatever keeps growing at this pace... What'll happen?"""
st_055150_0310#0,"""What do you think will happen? It'll swallow not just Earth, but the entire solar system. Goodbye everything."""
st_055150_0320#0,"""Och and I will be working together with government agencies around the world to hasten the investigation."""
st_055150_0330#0,"""Enga Yasaka, please work together with ARKS and let us know if and when you discover anything."""
st_055150_0340#0,"""A black hole suddenly appearing and growing impossibly fast... It's just like the one over here."""
st_055150_0350#0,"""The Akashic Record is the chronicle of all existence. So even if you cross dimensions, the same phenomenon will occur."""
st_055150_0360#0,"""Then it sounds like your problem is definitely ours as well."""
st_055150_0370#0,"""Seems like I should tell Hitsugi and Aru about this too."""
st_055150_0380#0,"""If something happens, let me know. I'll get the Earth side moving right away."""
st_055150_0390#0,"""Understood. Thank you for your cooperation."""
name01#0,"""？？？"""
name02#0,"""？？？"""
