text10#0,"""Acerca de los Photons"""
text20#0,"""Acerca de Claris Claes"""
text30#0,"""Acerca de Omega"""
text999#0,"""Volver"""
text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
sq01_010#0,"""La nave ARKS también ha cambiado.<br>Este lugar, el Puente, ¿No? Todo se está volviendo más de alta tecnología."""
sq01_020#0,"""落ち着いてきたら、外もふらふら<br>見回らせてもらおうかなー。<br>わたし、誰にも気付かれないしさ。"""
11_voice_NPC_5430_104#0,"""ルーサーかぁ……<br>いや、わたしもとびっきり悪いイメージ<br>しかもってないけどね。"""
sq02_020#0,"""こっちの世界との繋がりって考えると<br>今のところ唯一のものだから<br>無下にもしにくいのがなんとも。"""
sq02_030#0,"""でもね、あいつきっとどんな状態でも<br>口だけ達者なひねくれ者だろうから<br>のせられないように注意、だよ。"""
sq03_010#0,"""オメガが持つエネルギーの増大に<br>比例してダーカーも強力になる。"""
11_voice_NPC_5430_105#0,"""アカシックレコードと一体化<br>してるからこその現象だろうね。"""
sq03_030#0,"""ダーカーの力、その記録が<br>書き換えられてるってこと。<br>……想像以上にやっかいだよ、これ。"""
11_voice_NPC_5430_104#1,"""フォトンって感覚が一番重要だからさ<br>二代目ちゃんの「嫌な予感」って<br>無視できないんだよねー。"""
sq04_020#0,"""わたしはこう、都合良く<br>書き換えたりしちゃう人だから<br>そういうのにはうとくてさ。"""
sq04_030#0,"""気を付けるに越したことはない。<br>くれぐれも、無理はしないようにね。<br>二代目ちゃん、泣いちゃうよ？"""
11_voice_NPC_5430_104#2,"""Sentí que pensaba que el registro de Photonner y el registro de Arks están mezclados."""
sq05_020#0,"""Por ejemplo, Gettemhart es de los registros de Arcks, ¿No es así? Cualquiera de los factores está ahí, es esto."""
sq05_030#0,"""La razón por la que está mezclado es lo más importante...<br>Supongo que no lo entiende."""
sq06_010#0,"""Aunque estaba siendo manipulado,<br>las acciones de Luther no están permitidas<br>no lo perdonaré."""
sq06_020#0,"""Bueno, pienso que nunca pensó en nada para perdonarse a sí mismo, sin embargo."""
sq08_010#0,"""今までの事例とは、状況が異なるよ。<br>オメガの中から、外部世界への<br>干渉が行われたってことだからね。"""
sq08_020#0,"""並大抵の力じゃそんなの不可能。<br>わたしが向こうにいたとしても<br>出来るかどうかは微妙かな。"""
sq08_030#0,"""つまり、それだけの力を持つ存在が<br>向こうにはまだいるってこと。<br>……本当に、気を付けてね。"""
sq09_010#0,"""無事に戻ってきたってことは<br>原理としてはわたしのやってることと<br>同じなのかもしれないね。"""
sq09_020#0,"""目の前にあるものを送るのと<br>遠くのものを呼び寄せるのじゃ<br>勝手は全然違うけどさ。"""
sq09_030#0,"""召喚の技術が進歩してる世界なら<br>ありえない話じゃない。<br>他の子達も、きっとオメガだね。"""
sq10_010#0,"""失踪者たちは戻ってこられたけど<br>ブラックホールはなくならない。<br>つまり、まだ問題は残ってる。"""
11_voice_NPC_5430_105#1,"""消去法で考えると、あとは<br>【双子】って事になるけど……<br>未然に止められないものかなあ。"""
sq11_010#0,"""二代目ちゃんの言ってるとおり<br>事件は連続してるけど<br>同時にはこない。"""
11_voice_NPC_5430_104#3,"""そこに理由があるのかな？<br>あるいは、同時に起こせない<br>理由とかがあったりするのかな？"""
sq11_030#0,"""同時に来られた方が、こっちと<br>しては厄介極まりないんだけど……<br>そもそも、目的が違うのかな？"""
11_voice_NPC_5430_105#2,"""うーむむむ……<br>敵の都合で振り回されてる<br>感じがして、歯がゆいね。"""
sq12_010#0,"""ブラックホールの拡大……<br>あれがフォトンの吸収によって<br>なされているのなら……"""
11_voice_NPC_5430_104#4,"""……ん？\u3000あ、ああっとゴメン。<br>ちょっとゴチャゴチャ考えてた。"""
sq12_030#0,"""わたしにしか取れない手ってのも<br>あったりするからさ。<br>大丈夫、なんとかなるしなんとかする。"""
sq12_040#0,"""今までも、そしてこれからも<br>アークスはなんとかしてきたんだから。<br>今回だって、なんとかなる！"""
sq13_010#0,"""だいたいの話は聞いてるよ。<br>でもゴメン、ちょっと休ませて。"""
sq13_020#0,"""この前の戦いで無理しちゃって……<br>少し休まないと存在維持が危ないの。<br>……肝心な時に、ゴメンね。"""
sq13_030#0,"""ちゃんと調子戻して<br>わたしも協力するから……<br>もうちょっとだけ、時間をちょうだい。"""
11_voice_NPC_5430_104#5,"""...Oh, lo siento. Todavía estoy un poco aturdida..."""
11_voice_NPC_5430_105#3,"""Se que las cosas estan un poco dificiles en este momento, pero mi cabeza se siente tan extraña que apenas puedo pensar..."""
ep6_sq02_01_01#0,"""He dormido mucho, así que creo que estaré bien por ahora."""
ep6_sq02_01_02#0,"""Lo siento, pero tendré que dejar esto en tus manos. Intentaré ser más útil la próxima vez."""
11_voice_NPC_5430_105#4,"""Hmm, esto es realmente preocupante. ¿En que podria estar pensando Shiva?"""
ep6_sq02_02_02#0,"""¿No tiene una fuerza tremenda? Pero tan pronto como cuando ella esta a un paso de aplastarnos, se retira."""
ep6_sq02_02_03#0,"""Si todavía está jugando con nosotros, ¿Qué tipo de juego sera el siguiente?..."""
ep6_sq03_02_01_01#0,"""Increíble, enviaron un señuelo en el lugar de Shiva... Fuimos completamente engañados."""
ep6_sq03_02_01_02#0,"""Pero al menos la formación Braided As funcionó y pudiste vencer a Mitra."""
11_voice_NPC_5430_100#0,"""Eso significa que debe haber una forma de contrarrestar a Shiva. Intentaré pensar en algo."""
11_voice_NPC_5430_100#1,"""Jeje, usar el Registro Akáshico para establecer una trampa en todo el universo es una idea bastante audaz.."""
ep6_sq04_01_02#0,"""Estoy feliz de ayudar con todo lo que pueda, así que no dudes en preguntar por mí si me necesitas.."""
11_voice_NPC_5430_100#2,"""La barrera en Omega parece haber funcionado. Gracias."""
ep6_sq05_2#0,"""Shiva ha perdido su poder y sus dos compañeros Photoner. Ella no podra permanecer inactiva por mucho más tiempo."""
ep6_sq05_3#0,"""Por favor ten cuidado. Tu próxima batalla podría ser la más peligrosa de todas. Haré lo que pueda para ayudar."""
