st_053045_0010#0,"""Oh, <%me>. No, Me referiré a usted como Guardián, como lo hacen Lady Harriet y los demás."""
st_053045_0020#0,"""Una vez más, mi nombre es Alisa. Fui elegido como la doncella de la espada de está generación."""
st_053045_0030#0,"""Me siento realmente honrada de conocer a una figura legendaria."""
st_053045_0040#0,"""Pero Alisa, ¿No eres una figura legendaria también?"""
st_053045_0050#0,"""Esto es meramente una tradición<br>aquí. Durante generaciones, solo las Doncellas de la espada elegidas pueden heredar la espada y la fuerza del Héroe."""
st_053045_0060#0,"""Espada y fuerza..."""
st_053045_0070#0,"""1. ¿Qué tan fuerte es?"""
st_053045_0080#0,"""2. ¿Podrías usarlo para salvar al mundo?"""
st_053045_0090#0,"""No estoy segura. Hasta ahora, nunca había pensado que fuera a usarlo."""
st_053045_0100#0,"""Mi fuerza solo existe para servir a un propósito."""
st_053045_0110#0,"""No es lo que piensas mi fuerza tiene un propósito singular."""
st_053045_0120#0,"""Mi fortaleza es la clave para derrotar al Malvado Dragón<br>Rojo que algún día resucitará."""
st_053045_0130#0,"""La espada y la fuerza que heredó solo revelarán su verdadero poder cuando enfrenten al Malvado Dragón Rojo. Esa es la leyenda que sigo."""
st_053045_0140#0,"""Es más o menos un viejo cuento de mujeres que se ha transmitido de generación en generación. Sin embargo, no puedo restarle importancia, ni puedo rechazar su significado..."""
st_053045_0150#0,"""Incluso si la nación comienza a colapsar o mi familia comienza a<br>caer, una tras otra... Me está prohibido usar mi fuerza."""
st_053045_0160#0,"""Eso... debe ser doloroso."""
st_053045_0170#0,"""Eso es. Sin embargo, es mi deber... Soy el último bastión de defensa contra el Malvado Dragón Rojo, que eventualmente resucitará."""
st_053045_0180#0,"""He sentido dolor y sufrimiento antes, pero nunca me ha desagradado lo que heredé."""
st_053045_0190#0,"""La gente de las leyendas son así.<br>¿No es así, Guardián?"""
