un_051020_0010#0,"""La primer Claris Claes...<br>La heroina legendaria antes de mi..."""
un_051020_0020#0,"""Oh no no no, para nada legendaria, eso no es demasiado ambicioso? solo paso hace 40 años cuando mucho."""
un_051020_0030#0,"""Yo solo era muy buena, casi era<br>trampa. En terminos de Fuerza en ARKS,<br>uno de 2da generación podria ser mejor que yo."""
un_051020_0040#0,"""Y estrictamente hablando,<br>yo no soy Claris Claes."""
un_051020_0050#0,"""Que tu no eres Claris Claes?"""
un_051020_0060#0,"""Bueeeeno, es un poco difícil de explicar...<br>Los photones que estan dentro de mi<br>se llaman Claris Claes."""
un_051020_0070#0,"""¿Eh? Ehh?"""
un_051020_0080#0,"""Hmm, aun no lo entiendes...<br>Hmm...¡Oh! Si, ¡Estas en lo correcto!<br>Tengo una doble personalidad."""
un_051020_0090#0,"""¿Doble... Personalidad?"""
un_051020_0100#0,"""Yo tenia una constitución debil,<br>y me encontraba postrada en cama.<br>Por lo que tenia mucho tiempo para gastar,<br>y constantemente hablaba con mis photones."""
un_051020_0110#0,"""De repente me di cuenta que estos tenian<br>personalidad propia.<br>Yo fui la primera en sorprenderse."""
un_051020_0120#0,"""Sin embargo, la gente al rededor mio<br>estaban mas sorprendidos, de lo que yo estaba.<br>Ella era demasiado tosca para hablar."""
un_051020_0130#0,"""A ella siempre le dejaba cuando<br>tenia dificultad para mover mi cuerpo,<br>o me enfrentaba a un combate."""
un_051020_0140#0,"""Ella siempre estaba dispuesta ha hacerlo,<br>asi que le llamaron Claris Claes."""
un_051020_0150#0,"""Y es por eso que Gi y Ri<br>no me llaman Claris Claes."""
un_051020_0160#0,"""No importa como decidas llamarme<br>pero por mi bien,<br>por favor llamame Alma."""
un_051020_0170#0,"""Uh... Si, entendido."""
un_051020_0180#0,"""Bueno, entonces. ¿Podrias dejar de ser tan formal?"""
un_051020_0190#0,"""Uh... Si, entendido."""
un_051020_0200#0,"""Y como la Primer Claris Claes, llego a estar dentro de tu cuerpo, Alma?"""
un_051020_0210#0,"""Ella me dio su cuerpo...<br>cuando está desaparecio."""
un_051020_0220#0,"""Te dio tu cuerpo?..."""
un_051020_0230#0,"""Hm, me equiboco...<br>Umm, ella me dio su cuerpo<br>y está se convirtio en mi cuerpo."""
un_051020_0240#0,"""En otras palabras, mi cuerpo es Claris Claes y mi corazon es Alma."""
un_051020_0250#0,"""Entonces Claris Claes<br>te protegio, Alma?..."""
un_051020_0260#0,"""Bueno eso creo... Pero decir<br>que una de las dos protegio a la otra<br>es un poco rudo."""
un_051020_0270#0,"""Sus ultimas palabras fueron<br>\""No te voy a pedir prestado esto!\"""""
un_051020_0280#0,"""Oh, ahora que lo veo eso me hace<br>Claris Claes tambien.<br>Creo que debería acostumbrarme a que me llamen asi."""
