un_051030_0001#0,"""A.P.???/?/??/10:00"""
un_051030_0010#0,"""Aku baru ingat...<br>Aku lupa tanya."""
un_051030_0020#0,"""Xiao...<br>Kamu sudah tumbuh?"""
un_051030_0030#0,"""Oh, kamu sadar. Aku sedikit khawatir karena tidak ada yang bertanya padaku tentang itu."""
un_051030_0040#0,"""Aku pikir kalau aku menunjukkan bahwa aku tumbuh dengan baik, aku bisa mengerti keadaan pikiran orang lain. Jadi aku memutuskan untuk tumbuh sesuai umurku."""
un_051030_0050#0,"""Ngomong-ngomong, ketika dia menciptakan kami dua tahun yang lalu, dia sudah berada dalam bentuk ini. Aku tidak tahu bagaimana Xiao terlihat dalam wujud anak kecil."""
un_051030_0060#0,"""Hmm... Xiao anak kecil. Sepertinya dia punya penampilan yang nakal, bukan?"""
un_051030_0070#0,"""Kalau aku terlihat nakal, itu mungkin karena hubungan yang aku miliki."""
un_051030_0080#0,"""Begitukah? Bagaimana bisa?"""
un_051030_0090#0,"""Xiao terhubung dengan Sara.<br>Hmm, jadinya..."""
un_051030_0100#0,"""1. Mungkin memang karena hubungan itu"""
un_051030_0110#0,"""2. Xiao memang nakal"""
un_051030_0120#0,"""Hei, cobalah untuk bermulut manis sedikit!"""
un_051030_0130#0,"""Itu jawaban yang sangat langsung,<br>tapi aku tidak menyangkalnya."""
un_051030_0140#0,"""Kepribadianku terbuat berdasarkan Sara. Sampai sekarang, aku masih sedikit terpengaruh kepribadian Sara."""
un_051030_0150#0,"""Jika aku terlihat nakal, sejujurnya itu semua adalah karena Sara."""
un_051030_0160#0,"""Namun jika dia terpengaruh dari hubungan itu, bukankah itu artinya Xiao juga menyukai itu?"""
un_051030_0170#0,"""No comment.<br>Kalian bebas berpikir demikian."""
un_051030_0180#0,"""Yah, hal terbaik dalam bertumbuh dewasa adalah mampu mengelus kepala Sara."""
un_051030_0190#0,"""Sara tidak terlalu suka itu, namun bagiku itu menyenangkan."""
