name01#0,"""ヒューナル"""
st_054130_0010#0,"""¿Qué es ese?...<br>¡Poder abrumador, Guardian!..."""
st_054130_0020#0,"""No<br>Tus poderes también son... de modelos experimentales."""
st_054130_0030#0,"""¡Increible!...<br>Yo... ¡Perdí!..."""
st_054130_0040#0,"""¡<%me>!<br>¿Está todo bien?, ¿Qué?"""
st_054130_0050#0,"""1. El poder de ahora..."""
st_054130_0060#0,"""2. Además de eso, los dos..."""
st_054130_0070#0,"""No lo se.<br>La reacción fue exactamente igual que la de Elder"""
st_054130_0080#0,"""¡Así que, Melphonsina es!..."""
st_054130_0090#0,"""El Sr. Gettemhardt ya no está aquí.<br>Además, Melphonsina esta......"""
st_054130_0100#0,"""Hey, <%me>.<br>Por favor devuelveme el favor que te concedi."""
st_054130_0110#0,"""Hey, Sina.<br>Muchas gracias, por todo."""
st_054130_0120#0,"""Bueno, Gettemhart.<br>Era inusual para mí usarlo en lugar de simplemente repelerlo."""
st_054130_0130#0,"""Pero terminó.<br>Todo esto terminó."""
st_054130_0140#0,"""Sí, estaba mirando.<br>Fue verdaderamente increible guardián,<br>de verdad.<br>Muchas gracias"""
st_054130_0150#0,"""Fue difícil, hasta ahora."""
st_054130_0160#0,"""Sí, fue difícil."""
st_054130_0170#0,"""Estoy un poco cansada.<br>Si tomo un día libre, los demas no se enojarán."""
st_054130_0180#0,"""Ja, no dejare que se quejen por eso."""
st_054130_0190#0,"""Bueno, supongo que estaré ausente."""
st_054130_0200#0,"""Si."""
st_054130_0210#0,"""Bueno, entonces, Gettemhart."""
st_054130_0220#0,"""Esta bien Sina."""
st_054130_0230#0,"""ここは、俺達の終着点だ。<br>記録のみのシーナと<br>すでにいない俺の、記憶の終着点。"""
st_054130_0240#0,"""Sin embargo, <%me>.<br>aún hay algo que deberías hacer."""
st_054130_0250#0,"""Ephimera los devil castle...<br>Esa es la raíz que se come este mundo."""
st_054130_0260#0,"""Aún así, en el país de Verun<br>Debe haber muchos Devil Castles."""
st_054130_0270#0,"""No hay excusa para los dos<br>tenemos que solucionarlo"""
st_054120_0430#0,"""Se suponía que debía ser<br>comido por 【Elder】¿Pero<br>ahora seré la comida del señor guardián?<br>...Ha, ¿Por qué será?."""
st_054120_0440#0,"""Me pareció percibir el mismo<br>olor de cuando nos conocimos en<br>Naberius… Quien diría que lo asimilaría con el maldito."""
st_054120_0450#0,"""No tengo ganas de preguntar<br>cuál es la está situación, después<br>de todo, es un capricho del registro Akáshico.<br>Solo pensar en ello es inútil."""
st_054120_0460#0,"""Toma, mi fuerza.<br>Debería ser suficiente, el poder de 【Elder】."""
st_054120_0470#0,"""Por favor resuelve esto,<br>Y... Muéstrame cómo el maldito hace las cosas."""
st_054120_0480#0,"""¿Los Photóns de Gettemart en <%me>.?"""
st_054120_0490#0,"""No, esto es...<br>La reacción de 【Elder】! Que?"""
st_054120_0500#0,"""¿Qué es esto <%me>？"""
st_054120_0510#0,"""Pero, su forma...<br>Como la de... 【Elder】!"""
st_054120_0520#0,"""Hahahahah!<br>¡Obtuviste el mismo poder que yo!<br>¡No hay duda de que eres un oponenteincreible!"""
st_054120_0530#0,"""¡Guardián, parece que el final será tu pelea conmigo al final!"""
st_054120_0540#0,"""1．No estoy solo."""
st_054120_0550#0,"""2．Aquí hay tres personas"""
st_054120_0560#0,"""Depositaremos nuestros pensamientos."""
st_054120_0570#0,"""Golpearlo con toda nuestra fuerza"""
skit01#0,"""***"""
skit02#0,"""***"""
