st_053060_0430#0,"""¿Qué encontraste, Varuna?, ¿Había alguna señal de Lutz?..."""
st_053060_0440#0,"""No pudimos confirmar... Sin embargo, estamos seguros de que fue atrapado en el colapso."""
st_053060_0450#0,"""Ya veo..."""
st_053060_0460#0,"""Lady Alisa"""
st_053060_0470#0,"""Estoy bien... Estaba preparado para enfrentar los hechos. Estaba claro que mi tío ya no era el mismo hombre en sus últimos momentos."""
st_053060_0480#0,"""Me pregunto... ¿Estaba simplemente loco?"""
st_053060_0490#0,"""¿Qué?..."""
st_053060_0500#0,"""Me pareció que estaba bajo la influencia de algo más grande."""
st_053060_0510#0,"""Hermano... ¿Qué quieres decir con\""algo más grande\""?"""
st_053060_0520#0,"""Todavía no estoy seguro... Sin embargo, sí sé que si este no fuera un problema mayor, el Salvador no habría aparecido."""
st_053060_0530#0,"""No es solo el problema de está nación. Este es el comienzo de un cataclismo que involucra al mundo entero. ¿No es así, Guardián?"""
