un_059020_0010#0,"""Oh, <%me>!, ¡Gracias a Dios que estás aquí!"""
un_059020_0020#0,"""Creo que me siguen,<br>¿Crees que podría esconderme por un tiempo?<br>Oh, Dios mío, allí está ella!"""
un_059020_0030#0,"""Oh my?! Oh my my my my! Lisa estaba persiguiendo una presencia muy extraña, ¡Y la trajo a ti!"""
un_059020_0040#0,"""Entonces, Lisa se pregunta qué maravilla se pregunta, ¿Eso significa que eres la presencia extraña?"""
un_059020_0050#0,"""¿Una presencia extraña?"""
un_059020_0060#0,"""¿Cómo me llamaste?"""
un_059020_0070#0,"""Sí, una presencia extraña. ¿No puedes sentirla?"""
un_059020_0080#0,"""Lisa no quiere ofender. Eres lo suficientemente rar@ ya."""
un_059020_0090#0,"""Lisa es muy honesta acerca de sus sentimientos, ¿Sabes? Si Lisa piensa que alguien es raro, Lisa simplemente lo dice."""
un_059020_0100#0,"""Pero, esta clase de extraño no es la clase mala de extraño.  ¿Tal vez esta presencia extraña viene de ti después de todo?"""
un_059020_0110#0,"""¿Hm? Si ese es el caso, ¿Tal vez esta presencia extraña viene de ti después de todo?"""
un_059020_0120#0,"""Bueno, Lisa solo estaba persiguiendo algo porque estaba aburrida, ¡Así que no es gran cosa!"""
un_059020_0130#0,"""De todos modos, ¡Lisa se irá ahora! Dale los saludos de Lisa al dueño de esa extraña presencia<br>¿No?"""
un_059020_0140#0,"""¡Bye bye!, ¡Bye bye bye!"""
un_059020_0150#0,"""Ahh, ella se fue! Eso fue... Antinaturalmente aterrador."""
un_059020_0160#0,"""Pensé que era solo una coincidencia que ella notara mi presencia. ¡Pero luego ella comenzó a seguirme!"""
un_059020_0170#0,"""Supongo que debe tener mucha confianza en sus sentidos."""
un_059020_0180#0,"""O espera,<br>¿Emito un olor extraño?<br>¡Claro que no!"""
un_059020_0190#0,"""Entonces, a pesar de que no podía verme, aún sabía que yo estaba allí. Supongo que eso es lo que es ARKS genial, ¿Eh?"""
