st_051070_0010#0,"""¡Uaaah, aaaah!<br>¡Aaaaaahhh! """
st_051070_0020#0,"""Una vez más,<br>permítanme agradecerle su ayuda..."""
st_051070_0030#0,"""Estaba demasiado impaciente para ver a mi hermano, y no era consciente de las incursiones de búsqueda."""
st_051070_0040#0,"""Dime, ¿Cuál es tu nombre?"""
st_051070_0050#0,"""¿<%me> eh?<br>Tu eres mi salvador."""
st_051070_0060#0,"""No por favor, no estoy exagerando.<br>Mi vida está en juego, por el rey de está nación."""
st_051070_0070#0,"""Permítame presentarme.<br>Me llamo..."""
st_051070_0080#0,"""Esto es lo más lejos que te puedo permitir ir, hijo perdido del registro... Te devolvere a donde perteneces..."""
st_051070_0090#0,"""¿Qué está pasando?, ¿Qué te ocurre?"""
st_051070_0100#0,"""¿Desaparecio?..."""
st_051070_0105#0,"""De ninguna manera, ¿Quién era?"""
name01#0,"""Soldado"""
name02#0,"""？？？"""
