pr_056010_0010#0,"""Ya sabes. Fui yo quien dijo que no me sorprendería mucho si apareciera algo desagradable..."""
pr_056010_0020#0,"""Pero podría haber sido lo suficientemente bueno como para esquivarnos, ¿No es así?"""
pr_056010_0030#0,"""マルさん、周囲の人々の避難は？"""
pr_056010_0040#0,"""やーってるわよう！<br>民の避難はもう少しで終わるわ！"""
pr_056010_0050#0,"""それにしたってどうなってるのよ。<br>魔神城があんな風になっちゃうなんて。<br>これ、ここだけじゃないんでしょ？"""
pr_056010_0060#0,"""はい、ここだけではなく<br>エピックの各地に<br>出現しているようです。"""
pr_056010_0070#0,"""……そして、もう一つ。<br>あれは、魔神城ではありません。<br>あれは……ダークファルスです。"""
pr_056010_0080#0,"""Las lecturas se alinean con las de Apprentice, y son mucho más fuertes que en la Base Minera."""
pr_056010_0090#0,"""Pero tratamos directamente con Apprentice, entonces, ¿Por qué está ella aún en este mundo?"""
pr_056010_0100#0,"""¡Vamos, hada, agárrate!, ¡Está aquí, y solo tenemos que lidiar con eso! La pregunta es cómo, ¿Verdad?"""
pr_056010_0110#0,"""……はい、そうですね！<br>マルさん、たまに良いこと言いますね！"""
pr_056010_0120#0,"""はっ、何言ってんのよ！<br>アタシはいつも良いことしか<br>言ってないわよ！"""
pr_056010_0130#0,"""Más importante aún, ¿Estás seguro de que eres bueno para esto?, ¿De verdad crees que puedes lidiar con eso?"""
pr_056010_0140#0,"""それが守護輝士の仕事"""
pr_056010_0150#0,"""適材適所というやつだよ"""
pr_056010_0160#0,"""……そう。<br>まあ、アナタがそう言うのなら<br>そうなんでしょうね。"""
pr_056010_0170#0,"""Muy bien entonces, ella es toda tuya! Ve tan salvaje como quieras, simplemente corte el bulto grande al tamaño que desee."""
name01#0,"""？？？"""
name02#0,"""？？？"""
