st_058130_0010#0,"""Bravo, bravo I say. You've completely outwitted me, comrade."""
st_058130_0020#0,"""I was convinced you would be entirely without aid here... But it would seem you're far more adored than I ever imagined."""
st_058130_0030#0,"""But your fans aren't limited to the denizens of this fictitious world. You're even rubbing elbows with the Dark Falz."""
st_058130_0040#0,"""Where's Harriet?"""
st_058130_0050#0,"""Return Harriet."""
st_058130_0060#0,"""Harriet? Heheh, what do you mean? She's right in front of you."""
st_058130_0070#0,"""This black cocoon is Harriet...?"""
st_058130_0080#0,"""That is the [Profound Darkness]'s vessel. Something that exists at all points in history. This world is no different, you see."""
st_058130_0090#0,"""No matter how lofty a goal they strive for, no matter how beloved a figure they become,<br>they're destined to bring about the end of the world."""
st_058130_0100#0,"""The role of sacrifice has been recorded as<br>Harriet's. It was her unavoidable fate, if you will."""
st_058130_0110#0,"""...Don't you see, comrade? It's futile to try and save her. The best you can offer her is death."""
st_058130_0120#0,"""Isn't that your forte, after all? The very reason we are comrades? Hahahah!"""
st_058130_0130#0,"""I WILL save her."""
st_058130_0140#0,"""Are you done talking?"""
st_058130_0150#0,"""It's always save her and save him with you, do you even know what that word means? You couldn't save anyone!"""
st_058130_0160#0,"""Always choosing to sacrifice others in order to survive! In the past, in the present... And it will happen again!"""
st_058130_0170#0,"""I'll tear it all down! In this very spot! Everything will return to zero!"""
st_058130_0180#0,"""You....and [Persona], isn't this what you wanted?!"""
st_058130_0190#0,"""You don't know [Persona]."""
st_058130_0200#0,"""You're not [Persona]."""
st_058130_0210#0,"""...Silence, comrade! I am... I am more Dark Falz than anyone!"""
st_058130_0220#0,"""Born of the beginning, persisting into the future, record of the Guardian! I will rewrite you!"""
name01#0,"""???"""
name02#0,"""???"""
