un_056030_0010#0,"""Si me disculpa, reina Margareta... ¿Estás realmente segura de que deberíamos estar haciendo esto?"""
un_056030_0020#0,"""¡Por supuesto que si!, ¡Tomar paseos es parte de nuestros deberes reales!"""
un_056030_0030#0,"""Y no es como si realmente tuviera que mostrarte cuando regresamos, ¿Verdad? Pero ahora es una buena oportunidad."""
un_056030_0040#0,"""Oh, Reina Margareta, ¿Estás aquí para visitarnos otra vez?<br>Sin embargo, todavía no tenemos productos para darte."""
un_056030_0050#0,"""Pues claro que no lo habrías hecho todavía.<br>No, solo le estoy mostrando una amiga."""
un_056030_0060#0,"""Reina Margareta, tienes... ¿Una amiga?"""
un_056030_0070#0,"""Oh... Pobre de ella."""
un_056030_0080#0,"""¿Cómo podría ella infligir eso a alguien?..."""
un_056030_0090#0,"""Se fuerte, jovencita"""
un_056030_0100#0,"""Lo siento mucho..."""
un_056030_0110#0,"""¡Esperen! ¿Se dan cuenta de que estoy aquí?, ¿Verdad?"""
un_056030_0120#0,"""Es solo que tienes una amiga, reina Margareta..."""
un_056030_0130#0,"""¡Es un poco exagerado, Reina Margareta! Eres como una bola de arrogancia que habla, ¿Cómo es que tienes una amiga?"""
un_056030_0140#0,"""Esto ha sido más allá de una simple groseria, a un desprecio real, pero... Bueno, ¡Supongo que es un poco increíble que hubiera tenido una amiga, antes de hoy!"""
un_056030_0150#0,"""Entonces, Reina Margareta, ¿Quién es tu amiga?"""
un_056030_0160#0,"""Harriet, la nueva reina de Cuent. Sé que todos están bastante atrasados, pero si la llamara la Reina de Hielo, ¿Estoy seguro de que eso les sonará familiar?"""
un_056030_0170#0,"""Oh, cierto, he oído hablar de ella. La reina de Cuent de corazón frío, ¿Verdad?"""
un_056030_0180#0,"""…………"""
un_056030_0190#0,"""Entonces, ¿Por qué te dicen la Reina de Hielo?, ¿Por que tienes frío, señorita?"""
un_056030_0200#0,"""¿Eh?... Ah, no, creo que se refiere más a mi comportamiento y disposición, en este caso..."""
un_056030_0210#0,"""Bueno, seguro que no me pareces una Reina de Hielo."""
un_056030_0220#0,"""¡Ojalá lo fueras, sinceramente! Este lugar es demasiado caluroso, nos vendria bien algo de hielo!"""
un_056030_0230#0,"""Además, te has hecho amiga de la Reina Margareta, ¿Verdad?"""
un_056030_0240#0,"""No hay manera de que alguien tan amable y aceptado como esa sea cualquier tipo de reina de hielo."""
un_056030_0250#0,"""¿Que?"""
un_056030_0260#0,"""¡Puedo decir eso otra vez!, ¡Si eres la Reina de Hielo, tendríamos que profundizar bastante para encontrar algo apropiado para llamar a la Reina Margareta!"""
un_056030_0270#0,"""¡Ah, no te equivocas allí!, ¡El sol se había puesto antes de que hubieras terminado de describir sus faltas!"""
un_056030_0280#0,"""Ah, cállense plebeyos! ¿No puedes ver que la estás haciendo sentir incómoda? ¡Vamos, chuu, piérdete! Largate ya!"""
un_056030_0290#0,"""Honestamente, mi gente es blasfema al extremo."""
un_056030_0300#0,"""Aunque llegan de donde vienen."""
un_056030_0310#0,"""¿En qué sentido?"""
un_056030_0320#0,"""Bueno, eres llamada la Reina de Hielo. También estaba un poco nerviosa estando estar cerca de ti al principio."""
un_056030_0330#0,"""Pero una vez que te conocí, fue tan obvio, que no eres una Reina de Hielo en absoluto, Harriet."""
un_056030_0340#0,"""Y creo que mi gente sensata pueden sentir eso también. Por eso estaban tan relajados por hablar contigo."""
un_056030_0350#0,"""¿Es así?"""
un_056030_0360#0,"""¡Sí lo es!, ¿Quién comenzó a llamarte Reina de Hielo para empezar? Honestamente, quién sabe lo que estaban viendo en ti."""
un_056030_0370#0,"""Reina Margareta..."""
un_056030_0380#0,"""Hmmm?, ¿Qué pasa, Harriet?"""
un_056030_0390#0,"""Muchas gracias"""
un_056030_0400#0,"""Vamos, ya pasamos eso, ¿No? Pero, sin embargo, aceptaré humildemente tu agradecimiento. De nada, Harriet."""
name01#0,"""Hombre amistoso"""
name02#0,"""Mujer triste"""
name03#0,"""Mujer preocupada"""
name04#0,"""Hombre alegre"""
name05#0,"""Niño ingenuo"""
name06#0,"""Mujer alegre"""
name07#0,"""Mujer gentil"""
name08#0,"""Hombre alegre"""
name09#0,"""Niño ingenuo"""
