name01#0,"""Soldado Cuentian"""
name02#0,"""？？？"""
st_053020_0160#0,"""Cuent Castle, la ubicación del trono real."""
st_053020_0170#0,"""El déspota Lutz, sentado en su trono, se irrita<br>cada vez más mientras escucha a su subordinado."""
st_053020_0180#0,"""Y ¿Cómo sucedió esto? Creo que ordené la supresión de estos traidores."""
st_053020_0190#0,"""Y sin embargo, Luther y Harriet siguen vivos... Y los Devil Castles, los que hemos luchado para prosperar en todas partes, están siendo destruidos."""
st_053020_0200#0,"""Los Devil Castles, si bien son fortalezas inmejorables, son invencibles gracias al poder de las Devil Barriers."""
st_053020_0210#0,"""Si hay un método para vencer las barreras, entonces la destrucción es una posibilidad..."""
st_053020_0220#0,"""¡Por eso TE ESTOY PREGUNTANDO qué vamos a hacer al respecto!"""
st_053020_0230#0,"""Por favor cálmate, tío..."""
st_053020_0240#0,"""¡Es imposible! los Devil Castles están siendo destruidos!..."""
st_053020_0250#0,"""La princesa Harriet, que posee el poder de destruir los Devil Castles, está en compañía de un ser conocido como el Guardián."""
st_053020_0260#0,"""Además, hay dos herederos al trono en su lado. Aunque usted puede tener la investigación del reino, su causa está justificada."""
st_053020_0270#0,"""Alisa... ¿De qué lado estás?"""
st_053020_0280#0,"""Sólo digo los hechos, ya que soy la doncella de la espada."""
st_053020_0290#0,"""Si realmente crees en la voluntad del pueblo y en la voluntad del reino, entonces pienso que la reconciliación es el mejor curso de acción."""
st_053020_0300#0,"""¡No lo haré!, ¡No me reconciliaré con el Rey, que casi contaminó a está nación, o a sus descendientes!"""
st_053020_0310#0,"""Tío... ¿Estás tratando realmente de que el país se derrumbe?"""
st_053020_0320#0,"""¿Por qué tienes que?... ¡Los Devil Castles y Ephimera son esenciales para mantener viva a está nación!"""
st_053020_0330#0,"""¡Abandonarlos equivale a destruir a está nación!, ¡La desaparición de está nación es la destrucción de la historia!"""
st_053020_0340#0,"""Incluso las leyendas que lo protegen y la espada que ejercen sería destruida!<br>¿Entiendes, Doncella de la espada Alisa?..."""
st_053020_0350#0,"""Si..."""
st_053020_0360#0,"""Las palabras del tío no están mal...<br>Sin el poder de los Devil Castles, no podríamos sobrevivir en este mundo."""
st_053020_0370#0,"""Sin embargo, me pregunto cuál es su razonamiento en mantener los Devil Castles y a Ephimera?..."""
st_053020_0380#0,"""Supongo que no tengo mas opción que preguntar directamente..."""
