un_057040_0001#0,"""A.P.241/11/10"""
un_057040_0010#0,"""Hey, <%me>. You seem busy as ever."""
un_057040_0020#0,"""More like you're never busy with anything. Whatever happened to teaching, huh?"""
un_057040_0030#0,"""Not my fault. Old man Regius and Maria are doing too good a job, nothin' I can do about it."""
un_057040_0040#0,"""Ahh, is Maria still ignoring General Affairs for the Instruction Sector? Sara won't be happy about that."""
un_057040_0050#0,"""Oh, Xiera. Is it alright for you to leave the bridge?"""
un_057040_0060#0,"""Yes! I got permission to leave because of everything that's been happening!"""
un_057040_0070#0,"""Now that you mention it, you've been the one contacting us for the Commander meetings too, haven't you?"""
un_057040_0080#0,"""Ya know, I've been wondering why you've been tagging along at those meetings for a while now."""
un_057040_0090#0,"""Because you never document anything. I am a reliable secretary, you see."""
un_057040_0100#0,"""Hmm. Seeing you both in person like this, I can't help wondering."""
un_057040_0110#0,"""Wondering what?"""
un_057040_0120#0,"""Zeno and Echo. Why haven't you two gotten married yet?"""
un_057040_0130#0,"""Bwuh!"""
un_057040_0140#0,"""Good question"""
un_057040_0150#0,"""It's one of the Seven Wonders of ARKS"""
un_057040_0160#0,"""See? Everyone else feels the same way. It's all I can think, seeing you together."""
un_057040_0170#0,"""No-, I mean, marriage?! You have to work up to that slowly..."""
un_057040_0180#0,"""You two seem like you've worked all the way up to it."""
un_057040_0190#0,"""But... Bu-But, it needs to be done when the time is right, and you have to be totally sure, yeah!"""
un_057040_0200#0,"""'Kay. Let's get married then."""
un_057040_0210#0,"""Hu-What?!"""
un_057040_0220#0,"""What? You don't wanna?"""
un_057040_0230#0,"""N-Nonononono! I mean...I do!"""
un_057040_0240#0,"""But are you... okay? I mean, with getting married... to me..."""
un_057040_0250#0,"""What are you all self-conscious about now? I mean, who've I got besides you?"""
un_057040_0260#0,"""You okay with it? You'll be able to boss me around as much as you want from now on."""
un_057040_0270#0,"""...I already do."""
un_057040_0280#0,"""Yeah, you sure do."""
un_057040_0290#0,"""O-Okay! Let's go fill out the paperwork, Zeno! Before I change my mind!"""
un_057040_0300#0,"""You'd change it that easily? Well, see ya later. And thanks, Xiera."""
un_057040_0310#0,"""...Um, <%me>. Did... I just do something unthinkable?!"""
un_057040_0320#0,"""You're something else"""
un_057040_0330#0,"""I think it's great"""
un_057040_0340#0,"""No, but... I couldn't stop myself from saying it after seeing them like that...!"""
un_057040_0350#0,"""I suppose it is, but... I didn't imagine everything would come together so quickly..."""
un_057040_0360#0,"""Ahh!... I just felt a huge wave of embarrassment! We witnessed something amazing! Spectacular, even!"""
name01#0,"""???"""
name02#0,"""???"""
