st_058170_0010#0,"""...Fiiiinally!"""
st_058170_0020#0,"""...It's over."""
st_058170_0030#0,"""What, already? Labrys and I haven't had our fill."""
st_058170_0040#0,"""Haha, Ri's just as energetic and lively as ever.<br>I'm pooped."""
st_058170_0050#0,"""...We've fulfilled our role. Let's return, Maria."""
st_058170_0060#0,"""Ah..."""
st_058170_0070#0,"""...Thank you, Gi."""
st_058170_0080#0,"""Whoops, my foot slipped!"""
st_058170_0090#0,"""What are you doing, Maria?"""
st_058170_0100#0,"""Jeez, you're a stubborn old geezer. Give up the blushing bride act already."""
st_058170_0110#0,"""You don't need to see her to talk to her. You and Alma've got that kind of connection, don't you?"""
st_058170_0120#0,"""Haaaaah. Think I'll go give Sara some disciplining to help me forget this letdown of a fight."""
st_058170_0130#0,"""Gi..."""
st_058170_0140#0,"""...You're the one that doesn't understand, Maria."""
st_058170_0150#0,"""She and I have no need to share words... Isn't that right, Alma?"""
st_058170_0160#0,"""...Hehe, you sure about that? A woman's heart is a little more complicated than you think, Regius."""
skit01#0,"""The Saviors"""
skit02#0,"""Thus, the Heroes Gathered Here"""
name01#0,"""???"""
name02#0,"""???"""
