st_055030_0010#0,"""Varuna... Are you alright?"""
st_055030_0020#0,"""Don't worry... It's very hard to accept it, but I have no choice. Luther's rage..."""
st_055030_0030#0,"""Harriet's disappearance is kept secret. If we were to reveal this information, our society as we know it will collapse."""
st_055030_0040#0,"""Therefore, the search must be held in secret. Please understand, Guardian."""
st_055030_0050#0,"""Because we saw what happened, we'll have to go at it alone."""
st_055030_0060#0,"""Do you know where he might have taken her?"""
st_055030_0070#0,"""Luther was originally very secretive. Other than Harriet, I don't know where he might have taken her."""
st_055030_0080#0,"""However, traces of where they might be have been found."""
st_055030_0090#0,"""A Devil Castle has been summoned in the mountain range Northeast from the Neo Cuent Capital."""
st_055030_0100#0,"""There was also a report of strange demonic creatures with wings. This is probably..."""
st_055030_0110#0,"""...from the Devil Castle that Luther created while running away."""
st_055030_0120#0,"""I am Harriet's Adjutant. I must return to the throne so people do not realize that Harriet is missing."""
st_055030_0130#0,"""Guardian, one more thing."""
st_055030_0140#0,"""I'll come back soon."""
st_055030_0150#0,"""Let's both do our best."""
st_055030_0160#0,"""Thank you."""
name01#0,"""？？？"""
name02#0,"""？？？"""
