st_054110_0001#0,"""Miestras los Devil Castles caen<br>con la ayuda del Guardian"""
st_054110_0003#0,"""Con el resentimiento por<br>doquier, este no pudo ser omitido.<br>Los Guardianes solo apuntan hacia adelante."""
st_054110_0005#0,"""A diferencia del resto del camino,<br>la capital imperial estaba envuelta<br>en un inmenso silencio.<br>Como si nadie estuviera vivo."""
st_054110_0007#0,"""Solo el emperador<br>está ahí."""
st_054110_0009#0,"""El emperador de Verun, Schlegger<br>Estaba esperando la llegada de su rival."""
st_054110_0010#0,"""Ya estan aquí."""
st_054110_0020#0,"""Eres...<br>¿El emperador de Verun?"""
st_054110_0030#0,"""En efecto. Yo soy el Emperador<br>de Verun, Schlegger. Señor guardián,<br>Tus problemas se recien comienzan."""
st_054110_0040#0,"""¡Jaja, jajajajajajajajajajajaja!<br>Finalmente te veo la cara<br>maldito emperador"""
st_054110_0050#0,"""No solo por la vida de todos, sino por el pecado de jugar con este país sin permiso..."""
st_054110_0060#0,"""Kufu, jeje... ¿Jugar con el país?<br>Yo soy el emperador, este es mi país.<br>No importa cómo sea, seré egoísta."""
st_054110_0070#0,"""Si quieren algo, diganme. Pero deberían<br>de tener el poder para hacerlo.<br>¿No es eso así? cuerpos experimentales."""
st_054110_0080#0,"""La fuerza obtenida en la remodelación...<br>¿¡Tiene algún sentido!?"""
st_054110_0090#0,"""Bueno, solo moriré si no tengo el poder."""
st_054110_0100#0,"""No importa cuanto ladren el<br>poder es justicia en este mundo.<br>Solo los débiles sucumbirán.<br>¿No es asi?"""
st_054110_0110#0,"""No es así Guardián. Antes de obtener<br>todo ese poder debiste haber aplastado un montón de cosas."""
st_054110_0120#0,"""Aun que critiques a una persona, está no<br>cambiará. No importa la humanidad o la<br>indignación. El poder es justicia esa es la verdad universal y única en el mundo."""
st_054110_0130#0,"""Por lo tanto, Verun evolucionó para entrenarse a sí mismo más que en tiempos antiguos y para fortalecerse a sí mismo."""
st_054110_0140#0,"""Difundir batallas al mundo<br>Solo tenemos este poder."""
st_054110_0150#0,"""Esa es la respuesta.<br>Tu justicia<br>yo mismo, la aplastare!"""
st_054110_0160#0,"""¡Fals Hunar! ¿Qué?<br>¡Y también Darkers!..."""
st_054110_0170#0,"""¿El poder de Effimera?...<br>No, ¡Eso es demasiado!"""
st_054110_0180#0,"""Después de todo, Ephimera es parte de Profund Darkness!"""
st_054110_0190#0,"""Kukei, jajajaja! ¿No es<br>lindo? ¡Fue bastante fácil de entender!"""
st_054110_0200#0,"""Si derrotas a ese monstruo, ¡Ganas!<br>¡Eso es todo!"""
st_054110_0210#0,"""Emperador de Verun, Schlegger.<br>Por las vidas que tomaste...<br>Me vengare."""
skit01#0,"""***"""
skit02#0,"""***"""
