un_055030_0010#0,"""Hey, patea al chico nuevo. El es una monstruosidad."""
un_055030_0020#0,"""Chico nuevo? Seguramente bromeas. Soy un Photoner. Estoy notablemente más allá de tus limites."""
un_055030_0030#0,"""La edad no tiene nada que ver con el rango. Intenta no perder la cabeza por el trasero, amigo."""
un_055030_0040#0,"""Tu voz es tan detestable como tu tamaño. Solo mirándote me muestra cuánto ha avanzado el progreso de ARKS."""
un_055030_0050#0,"""Hah! Sí, supongo que eso sucede cuando el gerente es un PERDEDOR egocéntrico arrogante. Oye, ¿Estoy en lo cierto?"""
un_055030_0060#0,"""Sí, sí, por supuesto, es todo culpa mía. Allí, llegamos a una conclusión. Puedes dejar de hablar ahora."""
un_055030_0070#0,"""あの……"""
un_055030_0080#0,"""¿Te importa? Estoy tratando de..."""
un_055030_0090#0,"""¡Nadie te ha preguntado!"""
un_055030_0100#0,"""Haha. Literalmente preguntaste hace un momento. Completamente inconsistente verdaderamente el colmo de la estupidez."""
un_055030_0110#0,"""Horrible e intolerante. ¿Es esto realmente lo mejor que [Elder] tiene para ofrecer?"""
un_055030_0120#0,"""Deja de correr la boca, PERDEDOR. ¿Quieres que te enseñe por qué tienes ese nombre? ¡Ven y tráelo!"""
un_055030_0130#0,"""Oh, ya terminé de hablar. Estás más allá de la ayuda."""
un_055030_0140#0,"""De acuerdo, los dos están fuera."""
un_055030_0150#0,"""Le dire a Xiao."""
un_055030_0160#0,"""…………"""
un_055030_0170#0,"""…………"""
un_055030_0180#0,"""Ejem, más allá de la ayuda pero no más allá del mérito. Eres único, eso es seguro."""
un_055030_0190#0,"""Nuestro amable anfitrión también tiene algo que decir al respecto. Acordamos estar en desacuerdo por ahora."""
un_055030_0200#0,"""Sólo lárgate, fanfarrón.."""
name01#0,"""ゲッテムハルト"""
name02#0,"""ルーサー"""
