un_050090_0001#0,"""A.P.241/12/24/17:00"""
un_050090_0010#0,"""¡Increible... Tal cantidad de enemigos!<br>¡Pero tengo que actuar!"""
un_050090_0020#0,"""¡Aghh!<br>Alguien... ¡¡Ayudenmen!!"""
un_050090_0030#0,"""¡¿Qué?!"""
un_050090_0040#0,"""Oh, ¡Eso!"""
un_050090_0050#0,"""No pude decir en ese momento... [Gracías]<br>Para encontrarlo...<br>¡Me volvere como el!"""
un_050090_0060#0,"""¡¡HAA!!"""
un_050090_0070#0,"""¡¡AHHH!"""
un_050090_0080#0,"""¿¡Que!?"""
un_050090_0090#0,"""¡<%me>!<br>……Muchas, ¡Gracias!"""
name01#0,"""ストラトス"""
name02#0,"""？？？"""
