st_053070_0002#0,"""As the false king fell, so did Cuent Castle.<br>Following this, Harriet declared a new capital."""
st_053070_0004#0,"""Because of the confusion regarding the collapse of the<br>castle, a provisional capital was formed from the adjacent city."""
st_053070_0006#0,"""While the relocation of people was successful, the challenge<br>that remained was, who would succeed the throne."""
st_053070_0008#0,"""While there was someone who met the<br>requirements, she had refused to agree upon it."""
st_053070_0010#0,"""As I thought, it's rather soon for me to ascend the throne! Please, Luther! Take my place instead!"""
st_053070_0020#0,"""As knowledge of the details regarding my succession has become common knowledge amongst the people, it'd be bad if you do not accept this."""
st_053070_0030#0,"""Without a successor to the throne, there will be endless chaos from the people... Harriet, you must become the ruler of this nation."""
st_053070_0040#0,"""That's right, I understand, however..."""
st_053070_0050#0,"""1. It's alright"""
st_053070_0060#0,"""2. Perhaps Luther should..."""
st_053070_0070#0,"""Guardian... While your words are encouraging..."""
st_053070_0080#0,"""Insistent are we. I had already told you that I had no place on the throne."""
st_053070_0090#0,"""Even in such emergencies, how far are you willing to go?"""
st_053070_0100#0,"""Did you honestly think that royalty should break the law? The thought never crossed your mind, did it fairy?"""
st_053070_0110#0,"""Harriet's still young. Wouldn't it be too early for her?"""
st_053070_0120#0,"""It's never too early or too late to take the throne. The important thing is whether they're worthy of it or not."""
st_053070_0130#0,"""From the east in Es-Ars, the head of the nation is no older than a young child."""
st_053070_0140#0,"""In the west, the King of Epic took to the throne when he was just 12 years old."""
st_053070_0150#0,"""Age does not matter. What does is if they have the resolve to sacrifice themselves to their nation."""
st_053070_0160#0,"""I have no intention of having such a resolve. Because of which, with my focus on advancing Magic, cost me my succession to the throne."""
st_053070_0170#0,"""However, my sister... Harriet has that resolve."""
st_053070_0180#0,"""Luther... And the Guardian."""
st_053070_0190#0,"""I understand..."""
st_053070_0200#0,"""In the name of the late king. I, Harriet Lean Rein Cuent, declare my enthronement."""
st_053070_0210#0,"""Guardian."""
st_053070_0220#0,"""Support us and guide us on the path we must follow. We are in your care."""
