st_054170_0002#0,"""Fu!"""
st_054170_0004#0,"""甘い！"""
st_054170_0006#0,"""¡Ahora!"""
st_054170_0010#0,"""Es el final, Malvado Dragon Rojo.<br>Este no es el lugar al que perteneces.<br>Duerme en el fondo de la tierra."""
st_054170_0020#0,"""Bien, bien hecho, Doncella de la espada.<br>El dragón rojo también es una cosa inútil contra un enemigo como tu."""
st_054170_0030#0,"""Bueno sin embargo es normal, pero con algo de ayuda."""
st_054170_0040#0,"""Hay un lugar donde los que se derrumbaron con el castillo en busca de poder y fama duermen con Ephimera."""
st_054170_0050#0,"""Ese remordimiento, es un resentimiento<br>¡Esa alma!<br>¿Qué pasará si hay un impulso?"""
st_054170_0060#0,"""Sr. Arisa, ¡Cuidado!"""
st_054170_0070#0,"""¡Ah! Que?"""
st_054170_0080#0,"""¡Gua!"""
st_054170_0090#0,"""¡Dios, hoo!<br>¿El sello de la espada no está funcionando?<br>Algo... ¿Lo está fortaleciendo?..."""
st_054170_0100#0,"""¡Doncella de la espada!...<br>Traidora... Yo..."""
st_054170_0110#0,"""¡Esta, está voz es!..."""
st_054170_0120#0,"""¡Lutz!<br>¡Entonses tu alma se unio al malvado dragón rojo!"""
st_054170_0130#0,"""Ooh... Harriet... Luther...<br>Imperdonable... ¡¡IMPERDONABLE!!..."""
st_054170_0140#0,"""Todos los que se han opuesto a mi... Con<br>este poder... Los destruire a todos..."""
st_054170_0150#0,"""¡Guardian!<br>¡Regresaste y lo conseguiste!"""
st_054170_0160#0,"""Ooh... ¡Eso es todo!<br>Tu Guardian... Tu exclamación..."""
st_054170_0170#0,"""¿Este es el Dragon rojo?...<br>Pero esta sensación..."""
st_054170_0180#0,"""Lo has notado, hada.<br>En efecto, es el alma de Lutz que vive<br>por el poder de Ephimera."""
st_054170_0190#0,"""El poder de la doncella de la espada sella el poder del dragón rojo, pero el poder de Ephimera está enraizado, es razonable que no se pueda sellar."""
st_054170_0200#0,"""La existencia que rompió el mundo una vez y ahora, es un híbrido tratando de romper el mundo..."""
st_054170_0210#0,"""Pero si no se puede sellar, ¿Qué podemos hacer?"""
st_054170_0220#0,"""Para vencer, no hay nada mas que,<br>cortarlo hasta que sea polvo fino<br>¡No importa cuán ridículo suene!"""
st_054170_0230#0,"""¡Para salvar el alma del tío!<br>¡Huu……！"""
st_054170_0240#0,"""1. No te presiones."""
st_054170_0250#0,"""2. Déjamelo a mí."""
st_054170_0260#0,"""Pero si no lo sello...<br>¡Mi tío es muy estúpido!"""
st_054170_0270#0,"""Escuchen, Guardian, Doncella de la espada."""
st_054170_0280#0,"""Solo hay una forma de separar el poder de Ephimera"""
st_054170_0290#0,"""Hermano, te refieres a..."""
st_054170_0300#0,"""Guardian, detén el movimiento del Dragon rojo.<br>La doncella de la espada preparara el sello.<br>Si llega allí, el resto lo haré yo."""
st_054170_0310#0,"""¿Qué vas a hacer?"""
st_054170_0320#0,"""Solo hacer lo que un experto de Epimera puede hacer."""
st_054170_0330#0,"""No tengo tiempo para responder,<br>muévete."""
st_054170_0340#0,"""Guardian, ¡Por favor muevete de ahí!"""
st_054170_0350#0,"""Espada... Apaga el desastre ¡Enlaza la malicia que se convertirá en una cadena de luces!, ¡Binwa!"""
st_054170_0360#0,"""Es inútil, diferente fuerza del<br>espíritu maligno... ¡Esclavitud!"""
st_054170_0370#0,"""Restauración de pérdida física por convocatoria.<br>Y el establecimiento del alma..."""
st_054170_0380#0,"""Hago juegos imitativos.<br>Eso es lo que descubrí...<br>¡Sobre la investigación que hice!"""
st_054170_0400#0,"""¡El lugar para arreglarlo está aquí!<br>¡No está dentro del dragon rojo!"""
st_054170_0410#0,"""Uuu...<br>No sé dónde está, pero no te metas.<br>Lo que puedo manejar... ¡Solo yo!"""
st_054170_0420#0,"""Eso... La otra parte para usarlo !...<br>En tal lugar, ¡No!"""
st_054170_0430#0,"""¡Hermano!"""
st_054170_0440#0,"""¿Lo has sellado?"""
st_054170_0450#0,"""No... La espada dice,<br>que el sello no es perfecto.<br>Con esto, el ritmo temporal..."""
st_054170_0460#0,"""Más bien el dragon rojo surgirá sin poner distancia entre ellos."""
st_054170_0470#0,"""En ese momento, destruirá el espíritu maligno<br>Tengo que liberar el alma de mi tío..."""
st_054170_0480#0,"""¡Ug!"""
st_054170_0490#0,"""¡Hermano!"""
st_054170_0500#0,"""Harriet, no te preocupes tanto...<br>Estoy bien, no hay problema."""
st_054170_0510#0,"""Luther, ¿Qué hiciste?"""
st_054170_0520#0,"""Simplemente detuve el avivamiento infinito convocando al cuerpo al interferir con la técnica."""
st_054170_0530#0,"""Además, el procedimiento de ejecución también fue aplicado por el poder de Efimera<br>Si no es fácil de recordar, retrocederá."""
st_054170_0540#0,"""Bueno, es como asintiendo...<br>Es por eso que deberíamos llamar al Guardian."""
st_054170_0550#0,"""Estoy cansado,<br>descansaré un poco"""
name01#0,"""Dragón Rojo (Lutz)"""
name02#0,"""？？？"""
