st_052100_0010#0,"""Sí, soy Luther.<br>Pero, ¿Quiénes son ustedes para dirigirse a mí?"""
st_052100_0020#0,"""No hay muchos que me conozcan tanto por mi cara como por mi nombre..."""
st_052100_0030#0,"""...A menos, por supuesto, que<br>fueras un espía... Trabajando para Lutz."""
st_052100_0040#0,"""¡Hermano!<br>¡Esta noble alma me salvó cuando fui<br>perseguida por sus hombres!"""
st_052100_0050#0,"""No tienes previsión, Harriet. ¿Nunca tenemos en cuenta que esto podría ser parte de un plan? tal vez para seguirnos a casa, y encontrar nuestro escondite..."""
st_052100_0060#0,"""¡Hermano!"""
st_052100_0070#0,"""Entiendo, lo entiendo. Por favor calmate. La princesa de la corona no debe levantar su voz de esa manera."""
st_052100_0080#0,"""Lo mismo para mi hermano mayor."""
st_052100_0090#0,"""Ha pasado mucho tiempo para mi reclamo al trono. Ya no tengo un deber subyacente real de vincular mis pensamientos, acciones o los temas de mi investigación. Sugerir una edición"""
st_052100_0100#0,"""¡Ya veo!, ¡Esto debe ser de lo que Alma estaba hablando!"""
st_052100_0110#0,"""Es como si los registros de lo que ha pasado han sido desordenados. Puesto que esto es básicamente un sueño, cualquier cosa dentro de los límites de la posibilidad puede convertirse en una realidad!"""
st_052100_0120#0,"""Pero... ¿Luther como hermano de Harriet? esto excede todas las nociones racionales de plausibilidad..."""
st_052100_0130#0,"""¡Oye!, ¡Cuidado!, ¡¿Qué estás haciendo?!"""
st_052100_0140#0,"""Hmm... ¿Un hada? al<br>igual que la legendaria leyenda..."""
st_052100_0150#0,"""Entonces debes ser...<br>un salvador de otro mundo.<br>Tal como se ha predicho."""
st_052100_0160#0,"""¿¡Entonces entiendes!?"""
st_052100_0170#0,"""Soy el precursor de la investigación mágica. Si yo estudiara el flujo y reflujo de maná que te rodea, sería notablemente diferente. Después de todo, usted no es de nuestro mundo."""
st_052100_0180#0,"""En está posición me permitió sentar las bases para los conjuros de convocación modernos. Nunca habría llegado a este punto sin creer en la existencia de otros mundos, ¿No es así?"""
st_052100_0190#0,"""Sin embargo, usted puede tanto<br>volar, y entender el habla?"""
st_052100_0200#0,"""Verdaderamente la criatura de la leyenda... ¡Qué fascinante!"""
st_052100_0210#0,"""Si no te importa, ¿Podrías satisfacer mis pasiones estudiosas y convertirte en el tema de mi investigación?"""
st_052100_0220#0,"""¡Incluso si él está en un universo alterno, él es prácticamente la misma persona!"""
st_052100_0230#0,"""¡Escucha! por<br>favor, ayúdame."""
st_052100_0240#0,"""1. Tal vez en otro momento."""
st_052100_0250#0,"""2. Por favor no la molestes."""
st_052100_0260#0,"""Hmm... Muy bien. Ahora, para nuestra principal preocupación..."""
st_052100_0270#0,"""Oh, Esto es bastante serio...<br>con la mirada dolorida de mi querida hermana, sin embargo, no toma bien mis palabras. Muy bien entonces, procederemos con nuestra preocupación más inquietante."""
st_052100_0280#0,"""Permítame explicar la situación actual de nuestro país y los efectos de su guerra civil"""
