name01#0,"""Pria Pemberani"""
name02#0,"""Pria yang Ketakutan"""
name03#0,"""Pria Pengecut"""
st_054040_0010#0,"""Hah, hah! Apa cuma segini yang bisa dilakukan para makhluk rendahan ini?"""
st_054040_0020#0,"""Me-mereka masih berdatangan!<br>Melewati ini... anak-anak kita...!<br>Uwaaaaa!"""
st_054040_0030#0,"""Ini mustahil... Mereka berdatangan tanpa henti! Kita akan dimakan kalau kita tidak mundur!"""
st_054040_0040#0,"""Kita tidak boleh mundur!<br>Jangan lupa siapa yang ada di belakang kita, pengecut!"""
st_054040_0050#0,"""...! Benar juga..."""
st_054040_0060#0,"""Kita sudah siap untuk ini! Jangan menyesal sekarang!<br>Akan aku jatuhkan beberapa dari mereka bersamaku!"""
st_054040_0070#0,"""Hampir saja!<br>Untung kita bergegas ke sini!"""
st_054040_0080#0,"""Sina!? Mereka...?"""
st_054040_0090#0,"""Tenang saja, Gettemhart.<br>Mereka adalah teman kita!"""
st_054040_0100#0,"""ゲッテムハルトぉ！？"""
st_054040_0110#0,"""Uh, ada apa? Apakah ada sesuatu dengan namanya juga?"""
st_054040_0120#0,"""Ah, ti-tidak ada apa-apa!"""
st_054040_0130#0,"""Kita pikirkan ini lain kali saja!<br>Sekarang, kita harus melakukan sesuatu untuk tempat ini!"""
