name01#0,"""Hombre mayor"""
name02#0,"""Mujer mayor"""
name03#0,"""Mujer joven"""
name04#0,"""？？？"""
st_052090_0010#0,"""\""Hay alguien que quiero que conozcas.\""<br>Harriet le dijo a <%me>, como ella los<br>invitó a una pequeña ciudad situada en el sur de Cuent."""
st_052090_0020#0,"""Era uno de los pocos lugares en Cuent<br>que estaba lo suficientemente lejos del<br>reino y de la guerra para ser etiquetado<br>\""backcountry\""."""
st_052090_0030#0,"""Oh! Lady Harriet, ¡Bienvenida a casa!"""
st_052090_0040#0,"""Todo el mundo estaba preocupado cuando se enteraron de los ataques, estamos contentos de que se encuentre bien."""
st_052090_0050#0,"""Lady Harriet, debes estar cansada.<br>Prepararemos sus habitaciones inmediatamente.<br>Sir Varuna y los invitados también, por favor."""
st_052090_0060#0,"""La preocupación de todos por mí es muy apreciada. Sin embargo, estoy bien. Gracias a todos, estamos bien."""
st_052090_0070#0,"""Debo mostrar a los visitantes los alrededores. Por favor, no se<br>molesten, y sigan trabajando con sus deberes."""
st_052090_0080#0,"""Lo siento por la interrupcion. Está es nuestra casa, en Cuent Militia."""
st_052090_0090#0,"""Seguro que hay mucha gente para una Milicia."""
st_052090_0100#0,"""Son personas que no pueden sentarse y dejarse gobernar por la tiranía de Lutz."""
st_052090_0110#0,"""La primera prioridad de Lutz es la colección de Ephimera y la convocatoria de los Devil Castles."""
st_052090_0120#0,"""Independientemente de las personas que viven allí o no, él continúa convocando a los Devil Castles, uno tras otro.<br>El ya no está cuerdo."""
st_052090_0130#0,"""El uso excesivo de la tecnología se llevará a la ruina. Estoy segura que lo mismo pasa con Ephimera..."""
st_052090_0140#0,"""<%me>, la persona que quiero que conozcas está dentro."""
st_052090_0150#0,"""Estoy entrando."""
st_052090_0160#0,"""Tock tock. Sólo porque has golpeado, no significa que puedas entrar. No significa nada hasta que hayas obtenido una respuesta."""
st_052090_0170#0,"""Si espero a que responda, la puesta de sol llegaria antes que su respuesta."""
st_052090_0180#0,"""Heh, me pregunto qué día sera."""
st_052090_0190#0,"""¿¡Hey!?, ¿¡Esta voz!?..."""
st_052090_0200#0,"""Oh, ¿Visitantes? supongo que eso significa que es nuestro último día para pagar nuestro impuesto?"""
st_052090_0210#0,"""¿¡Cómo!?... ¿Por qué y cómo estás aquí?"""
st_052090_0220#0,"""1. ¿¡Luther!?"""
