un_055020_0010#0,"""Ah, <%me>."""
un_055020_0020#0,"""Hey, partner. I just ran into Matoi. We're chatting about old times, wanna join us?"""
un_055020_0030#0,"""Hehe. It really takes me back, being around you two like this."""
un_055020_0040#0,"""So much has happened already, hard to believe it's only been three years since we first joined."""
un_055020_0050#0,"""Even still, it feels like it was just yesterday that the two of you rescued me."""
un_055020_0060#0,"""After that, everything that happened with Xion and myself... Yes, I remember it all so well."""
un_055020_0070#0,"""I joined ARKS to look for my sister, and got caught up in all sorts of things... It sure was one heck of a ride."""
un_055020_0080#0,"""Yuki turned out to be a Dark Falz, and you two almost succumbed to it too..."""
un_055020_0090#0,"""...You know putting everything together like that, I almost feel like I'm some kinda jinx or something."""
un_055020_0100#0,"""O-of course you're not! Yucreta came back to us, after all!"""
un_055020_0110#0,"""Yeah. Thanks to <%me> here."""
un_055020_0120#0,"""The same goes for me. Because of you, <%me>, I am still here today."""
un_055020_0130#0,"""We're still missing someone"""
un_055020_0140#0,"""It was thanks to everyone working together"""
un_055020_0150#0,"""...You're right. This still isn't over."""
un_055020_0160#0,"""...I feel the same way, <%me>. We definitely need to save them."""
un_055020_0170#0,"""Don't sell yourself short. We owe you a lot for all the things you've done."""
un_055020_0180#0,"""That's why, I wanna do everything I can to help you out. Even if I'm not all that useful."""
un_055020_0190#0,"""Still, the two of us joined at the same time, but now we're in totally different positions."""
un_055020_0200#0,"""There's you, one of only two Guardians in the entirety of ARKS. Then there's me, just a normal everyday member."""
un_055020_0210#0,"""...Our titles might have changed, but the three of us are just the same as back then. The memories we have of our time together will never disappear."""
un_055020_0220#0,"""Ah, speaking of memories... Do you remember the time I performed a song?"""
un_055020_0230#0,"""Ohh, you mean that time Casra tricked you into doing that whole thing!"""
un_055020_0240#0,"""You weren't in ARKS yet then, were you Matoi?"""
un_055020_0250#0,"""No, I wasn't. I was still undergoing all of those tests and examinations to make sure I was fit to join."""
un_055020_0260#0,"""<%me>. That was such an interesting event. Everyone had all gathered together in one place."""
un_055020_0270#0,"""Theodore's singing sure was something. We should go \""remind\"" him about it sometime, partner."""
