un_050080_0001#0,"""A.P.241/12/24/16:00"""
un_050080_0010#0,"""¡Damas y Caballeros!"""
un_050080_0020#0,"""Bienvenidos a la transmision en vivo a todos ARKS<br>Este es el lugar donde se prueban las habilidades de guerra"""
un_050080_0030#0,"""¡Hoy tendremos la batalla del siglo!<br>¡Todos están familiarizados con el<br>comando de división de batalla... ¡Huey!"""
un_050080_0040#0,"""Tomen asientos, Claris Claes<br>¡Saludalos a todos!"""
un_050080_0050#0,"""Bueno, esto es mas importante de lo que<br>me imaginaba...<br>¡A todos no les gustan estos eventos!"""
un_050080_0060#0,"""¿Quieres abandoanr?"""
un_050080_0070#0,"""No hay más remedio que disfrutarlo ya."""
un_050080_0080#0,"""...¡No!<br>¡No hay otra oportunidad para<br>estar en un escenario tan grande!"""
un_050080_0090#0,"""...¡Sí!<br>¡Tan pronto como esto comienze, lo disfrutaré y apelaré!"""
un_050080_0100#0,"""Además, ¡Tengo muchas ganas de enfrentarme con el Guardian <%me>!"""
un_050080_0110#0,"""Ok, ¡Entonces es hora de la entrada de un jugador!"""
un_050080_0120#0,"""Así es ARKS, ¡Todo el mundo lo conoce!<br>¡No es exagerado decir que es una leyenda viva!<br>¡Numero 1 en solución de problemas y tambien en mayores logros!"""
un_050080_0130#0,"""¡Guardian!<br><%me>！<br>¡Tambien coopera directamente con Xiao!"""
un_050080_0140#0,"""¡Es la joven Esperanza que luchara contra, Guardián<br>¡La joven esperanza en el departamento de Batalla, [Grupo de Nuevas Tácticas]!<br>¡La fundadora de la nueva clase llamada [Hero]!"""
un_050080_0150#0,"""¡Se llama Stratos!<br>Su poder que a estado acumulando con efuerzo constante por mucho tiempo<br>¡Tiene llamas en sus ojos!"""
un_050080_0160#0,"""Si este es el caso, ¡No hay más remedio que hacerlo!...<br>...¡<%me>!<br>¡Haz tu mejor esfuerzo, por favor!"""
un_050080_0170#0,"""¡En un lugar agradable!<br>¿¡Se detectan lecturas DARK FALZ en las regiones Urbanas!?<br>¡Son lecturas sin precedentes!"""
un_050080_0180#0,"""¡Lo siento, pero el entretenimiento está suspendido!<br>Todos los espectadores.<br>¡Siguan las instrucciones de los ARKS y procedan a la evacuación!"""
un_050080_0190#0,"""Lecturas de DARK FALZ... ¡¡En la ciudad!!..."""
un_050080_0200#0,"""¡Comandante!,¡Segunda!<br>¡Ire al combate ahora mismo!<br>¡Ire al rescate como debe de ser!"""
un_050080_0210#0,"""¿Qué estás diciendo?<br>¡Es peligroso sola!"""
un_050080_0220#0,"""¡Esta bien!<br>¡Yo estoy en excelentes condiciones!<br>...¡Ya me voy!"""
un_050080_0230#0,"""Ah, Espera, ¡STRATOS!"""
un_050080_0240#0,"""<%me>.<br>Lo siento pero..."""
un_050080_0250#0,"""No me digas todo"""
un_050080_0260#0,"""Dejamelo a mi"""
un_050080_0270#0,"""...¡Ve!"""
skit01#0,"""The Hero"""
skit02#0,"""Spin off \u3000La figura que la chica estaba persiguiendo"""
name01#0,"""？？？"""
name02#0,"""？？？"""
