st_055070_0010#0,"""...Hmmm"""
st_055070_0020#0,"""Parece que has despertado."""
st_055070_0030#0,"""...¡Hmm!, ¡Que es esto!"""
st_055070_0040#0,"""No seas desenfrenada, Harriet.<br>Está bien, nadie vendra aquí."""
st_055070_0050#0,"""En un momento, podre encontrar una manera de evitar el uso de ti... Debería encontrarla..."""
st_055070_0060#0,"""¿Hermano?, ¿De qué diablos estás hablando?... ¿Qué estás tratando de hacer?"""
st_055070_0070#0,"""Eso es una pregunta tonta. Mi propósito es alcanzar la omnisciencia. Eso es todo."""
st_055070_0080#0,"""¿Quién... Quién eres?"""
st_055070_0090#0,"""¿De qué estás hablando? Harriet.<br>...Soy Luther."""
name01#0,"""？？？"""
name02#0,"""？？？"""
