text01#0,"""Es provisional porque todavía no hay texto１"""
text03#0,"""Es provisional porque todavía no hay texto２"""
text02#0,"""Es provisional porque todavía no hay texto３"""
text10#0,"""Comience La Batalla Contra [Profound Darkness]"""
text20#0,"""Seguir preparándose para la batalla"""
ep5test01#0,"""Ep5 skit 1"""
ep5test02#0,"""ep5 Skit 2"""
sq00_010#0,"""Por cierto, todo el mundo esta mírando.<br>Supongo que hay algo que decir."""
sq00_020#0,"""Bueno, ahora tampoco es así.<br>Incluso después de calmarme."""
sq01_010#0,"""【双子】の中から戻ってきたときといい<br>君はあれだね、突然戻ってくるのが<br>一つの能力と言えるのかもね。"""
sq01_020#0,"""演算とかでは計り知れないよ。<br>君という存在は、計算の外にある。<br>……だからこそ、見てて面白いんだ。"""
sq02_010#0,"""ルーサーがいたことよりも<br>まず、あの世界が存在すること<br>それ自体がおかしいんだ。"""
sq02_020#0,"""何があっても、誰がいても<br>驚くようなことじゃない。<br>というか、驚く場合じゃない、かな。"""
sq02_030#0,"""むしろ相手の性格がわかってるから<br>立ち回りやすかったりするかもね。<br>どこまで同じかはわからないけど。"""
