st_052050_0010#0,"""Aku mengatakan ini ke semua orang juga, tapi aku sungguh berterima kasih atas bantuanmu."""
st_052050_0020#0,"""1. Itu sudah sepantasnya untuk dilakukan."""
st_052050_0030#0,"""2. Apa mereka itu tadi?"""
st_052050_0040#0,"""Aku setuju dengan <%me>.<br>Bagi kami ARKS, itu semua wajar-wajar saja."""
st_052050_0050#0,"""Aku juga ingin tahu, tentang Devil Castle dan Buster Tower itu."""
st_052050_0060#0,"""Tadinya aku cukup khawatir, dengan Buster Tower itu juga."""
st_052050_0070#0,"""Berawal dari Devil Castle  yang memanggil banyak musuh... Apakah itu semacam benteng, atau sesuatu yang lain?"""
st_052050_0080#0,"""Bisa dibilang kedua-duanya. Dia melahirkan Demon terus-terusan dan juga punya kemampuan berpikir sendiri. Semua itu adalah bagian dari Devil Castle."""
st_052050_0090#0,"""Mereka terbawa ke dunia ini lewat Sihir Pemanggilan. Mereka adalah iblis yang bersarang di dunia ini."""
st_052050_0100#0,"""Sihir Pemanggilan?"""
st_052050_0110#0,"""Itu adalah sihir yang digunakan untuk memanggil makhluk iblis dari dunia lain."""
st_052050_0120#0,"""Dunia ini penuh dengan sihir."""
st_052050_0130#0,"""Mana yang terdapat di atmosfir bisa membuat teknologi kami melakukan hal-hal supernatural."""
st_052050_0140#0,"""Hmm, kedengarannya persis dengan apa yang kita tahu tentang Photon dan Technique."""
st_052050_0145#0,"""Itulah mengapa kita bisa menganalisis Buster Tower dan Devil Castle dengan cepat. Mereka memiliki sifat yang sama."""
st_052050_0150#0,"""Namun ada batas sebanyak apa Mana yang bisa dikendalikan seseorang. Maka dari itu, kinerja mereka masih dalam batas sewajarnya."""
st_052050_0160#0,"""...Sampai pada akhirnya, semua berubah ketika \""Ephimera\"" muncul."""
st_052050_0170#0,"""Beberapa tahun yang lalu, Ephimera mulai tersebar ke seluruh penjuru dunia. Mereka mekar tanpa menghasilkan benih apapun."""
st_052050_0180#0,"""Ephimera ini ternyata sangat berguna sebagai katalis sihir."""
