name01#0,"""Warga"""
st_053090_0010#0,"""Oh, Putri Harriet!<br>Ada apa anda datang kemari?"""
st_053090_0020#0,"""Ah, kamu tidak boleh memanggilnya begitu! Kamu harus menyapanya sebagai seorang ratu!"""
st_053090_0030#0,"""Oh, iya! Anda sudah menjadi ratu, Putri Harriet!"""
st_053090_0040#0,"""Makanya...!"""
st_053090_0050#0,"""Hehe. Saya masih baru dan belum berpengalaman sebagai ratu, panggil saya Harriet saja sudah cukup."""
st_053090_0060#0,"""Putri Harriet! Putri Harriet!<br>Ratu itu apa?"""
st_053090_0070#0,"""Hmm... Menurutku seorang ratu itu adalah perwakilan dari seluruh rakyatnya."""
st_053090_0080#0,"""Apakah mereka hebat?<br>Apakah mereka luar biasa?"""
st_053090_0090#0,"""Tidak juga. Mereka seperti orang yang lain, hanya saja mereka tampil berbeda."""
st_053090_0100#0,"""Hmm, Putri Harriet suka untuk tampil berbeda?"""
st_053090_0110#0,"""Err... iya! Walau begitu, aku merasa sedikit malu melakukan itu sendiri.<br>Apakah kalian bersedia untuk mendukungku?"""
st_053090_0120#0,"""Iya! Tentu saja!"""
st_053090_0130#0,"""Iya!"""
st_053090_0140#0,"""Putri Harriet!"""
st_053090_0150#0,"""Putri Harriet!"""
st_053090_0160#0,"""Putri Harriet."""
st_053090_0170#0,"""Putri Harriet!"""
st_053090_0180#0,"""Banyak sekali orang-orang berdatangan kemari...<br>Mereka pasti sangat mengidolakanmu."""
st_053090_0190#0,"""Diidolakan oleh semua orang... itu lain cerita."""
st_053090_0200#0,"""Perdana Menteri Lutz... bukan, raja sebelumnya, menempatkan beban kepada rakyat untuk menjaga negara ini..."""
st_053090_0210#0,"""Mereka bersukaria setelah terlepas dari kezalimannya. Dan aku rasa itu adalah wujud harapan mereka terhadap kepemimpinan yang baru."""
st_053090_0220#0,"""Lagipula, aku sudah mengunjungi kota ini secara diam-diam sejak aku masih kecil, dan aku dikenal banyak orang di sini."""
st_053090_0230#0,"""Mereka mengenal pemimpin mereka, jadinya mereka merasa lega."""
st_053090_0240#0,"""Maka dari itu, mereka mendukung kita dan kita memiliki kewajiban untuk menjawab mereka."""
st_053090_0250#0,"""Membangun negara ini lagi adalah langkah pertama. Itu adalah tugas dari bangsawan untuk membuat rakyatnya bahagia."""
st_053090_0260#0,"""Dan juga, ada satu lagi yang harus kita lakukan untuk memperoleh kepercayaan semua orang."""
st_053090_0270#0,"""Itu adalah tujuan yang diusahakan olehku dan Luther.<br>Pembasmian seluruh Ephimera."""
