un_050100_0001#0,"""A.P.241/12/24/17:30"""
un_050100_0010#0,"""Jajajajaja.... ¡Huh!"""
un_050100_0020#0,"""Ups!..."""
un_050100_0030#0,"""Ah....."""
un_050100_0040#0,"""...Uh, todo este tiempo...<br¿Eh estaba buscando a esta persona?..."""
un_050100_0050#0,"""¡Muchas gracias!<br>¡Nos has salvado!"""
un_050100_0060#0,"""Oh, no, no eh echo mucho..."""
un_050100_0070#0,"""¡Gracias hermana!<br>¡Eres genial, como una éroe!"""
un_050100_0080#0,"""……!!!"""
un_050100_0090#0,"""Sí, ¡Tu hermana mayor es una héroe!<br>¡Vamos, huye rápido!"""
un_050100_0100#0,"""¡Tómate tu tiempo de nuevo hasta que todos<br>vengan!, ¡Haré mi mejor esfuerzo!"""
name01#0,"""Ciudadano (Madre)"""
name02#0,"""Ciudadano (Niño)"""
