un_058020_0010#0,"""Oh cielos, ¿Oh cielos?<br>Lisa cree que hay algo raro, ¿No eres Xiera?."""
un_058020_0020#0,"""Administradora, estás fuera del puente<br>¿Estás bien?"""
un_058020_0030#0,"""¡Así es, esa es la reacción correcta!<br>¡Comprende mi posición firmemente!"""
un_058020_0040#0,"""Lisa no entiende nada acerca de por que estas impresionada."""
un_058020_0050#0,"""¡<%me> y Matoi no notan la novedad de que yo salga!"""
un_058020_0060#0,"""Usted es la administradora de la nave ARKS y ahora se siente que estás en todas partes, ¿Eso también es natural?"""
un_058020_0070#0,"""No escuché la respuesta a la pregunta de Lisa en lugar de eso."""
un_058020_0080#0,"""あ、ええっとですね、今はシャオが<br>艦橋に来ているので、自由行動の<br>許可が下りているんですよ。"""
un_058020_0090#0,"""シャオが来ている、ということは<br>何か大事が起きている、って<br>ことですよねえ？"""
un_058020_0100#0,"""あっ、い、いえ。<br>決してそういうわけでは。"""
un_058020_0110#0,"""Un ligero aumento de la temperatura corporal y una mirada antinatural.<br>La mentira es evidente, oye, Sierra."""
un_058020_0120#0,"""Dime dime dime dime.<br>¿Cuál es el próximo enemigo?<br>¿Dónde está realmente?"""
un_058020_0130#0,"""シャオが出てきて、演算を肩代わり<br>するほどでしたら、それはそれは<br>強大な相手なのでしょう？"""
un_058020_0140#0,"""Bueno, sí, tal cosa es..."""
un_058020_0150#0,"""Fufufufufu.<br>Es muy sencillo y fácil de entender."""
un_058020_0160#0,"""今度の敵はダーカーですかあ？<br>それとも地球の時のような新種？<br>はたまた全く別の、ですかあ？"""
un_058020_0163#0,"""それはそれはもしかして<br>あなたの内から香る、強そうな気配とも<br>関係があったりするんですかあ？"""
un_058020_0166#0,"""そういえばこの前<br>緊急のメディカルチェックとか<br>受けたりしてましたもん、ねえ？"""
un_058020_0170#0,"""手、手を握りしめたまま<br>かまをかけるのやめてください！"""
un_058020_0180#0,"""¡<%me>!.<br>¡Por favor ayudame!"""
un_058020_0190#0,"""１．Ayudar solo un poco"""
un_058020_0200#0,"""２．Haslo por ti misma"""
un_058020_0210#0,"""Hmm。<br>Bueno, si te gusta eso.<br>¡Hagamos eso!"""
un_058020_0220#0,"""Incluso si no lo odias tanto<br>tengo suficiente información<br>te daré una oportunidad."""
un_058020_0230#0,"""No te diré que no guardes el secreto<br>pero, no quiero que ocultes<br>una historia que parece divertida."""
un_058020_0233#0,"""特に、あなたの内から感じる力……<br>それ、とっても楽しそうですねえ。<br>今までになかった感じです。"""
un_058020_0236#0,"""そういう、楽しそうなのは<br>もっともっと教えてほしいですよお。"""
un_058020_0240#0,"""いえ、あまり楽しそうな話でも<br>ないんですけども……"""
un_058020_0250#0,"""ま、今すぐにどうこう、といった<br>話ではなさそうなので、いいです。"""
un_058020_0260#0,"""でも、楽しくなりそうでしたら<br>リサを呼んでくださいねえ。<br>絶対ですよお。ふふふふふ。"""
un_058020_0270#0,"""……アークスシップの中なのに<br>少し命の危険を感じましたよ。"""
un_058020_0280#0,"""Viendo con la grabación de video<br>si toco directamente<br>después de todo, el poder es diferente."""
