un_058010_0010#0,"""¡Hey, ustedes dos!"""
un_058010_0020#0,"""Oh, hola Xiera. Así que de todos modos..."""
un_058010_0030#0,"""¡Espera, espera un minuto!, ¡Espera!, ¡Espera un momento!, ¡Este es un fenómeno inusual!, ¡Mira aquí!"""
un_058010_0040#0,"""¡Ahora piensa con cuidado! ¿Qué raro?<br>¿No es así? ¡Esta situación!?"""
un_058010_0050#0,"""1. ¿Eres más alta?..."""
un_058010_0060#0,"""2. ¿Crecieron un poco?..."""
un_058010_0070#0,"""¡Sólo se veo así porque siempre estoy sentada!"""
un_058010_0080#0,"""¿Cómo que crecieron?... Oye, ¿A dónde miras?"""
un_058010_0090#0,"""Uh... Lo siento, Xiera, no sé."""
un_058010_0100#0,"""¡Estoy aquí frente a ti!"""
un_058010_0110#0,"""¿Hm? o siento, Xiera. No soy tan inteligente como crees que soy..."""
un_058010_0120#0,"""1. ¿Es porque estás fuera del puente?"""
un_058010_0130#0,"""2. ¿Es porque estás de pie y caminando?"""
un_058010_0140#0,"""¡Eso es correcto!"""
un_058010_0150#0,"""¡No, siempre he hecho eso!, ¡Es porque estoy fuera del puente!"""
un_058010_0160#0,"""Oh, así es... Probablemente sea la primera vez que vemos a Xiera fuera del puente"""
un_058010_0170#0,"""¡Eso es!, ¡Xiao acaba de llegar y me dio permiso para salir!"""
un_058010_0180#0,"""Todos mis cálculos se realizan en paralelo con Xiao, ¡Así que no hay problema si tomo un<br>pequeño descanso del trabajo para hacer lo que quiera!"""
un_058010_0190#0,"""Entonces, ¿Hasta ahora, nunca has salido del puente?"""
un_058010_0200#0,"""He estado en la sala de mantenimiento también, pero en ninguna otra parte. Después de todo, las comunicaciones fueron suficientes."""
un_058010_0210#0,"""Hah! Entonces, ¡Esto es lo que ves todos los días!, ¡Es tan diferente de verlo en una pantalla, una nueva perspectiva!"""
un_058010_0220#0,"""¡Tengo que usar bien este momento si quiero ver todo!, Nos vemos luego!"""
un_058010_0230#0,"""Xiera... Ella estaba realmente en la luna sobre esto, pero ¿Estará a salvo sola?"""
