un_051010_0010#0,"""Photon adalah elemen yang terhubung dengan Akashic Record."""
un_051010_0020#0,"""Gampangnya, mereka adalah esens dari Akashic Record itu sendiri."""
un_051010_0030#0,"""Photon ada di mana-mana, dan digunakan oleh Akashic Record untuk merekam semua hal di alam semesta."""
un_051010_0040#0,"""Ketika semua orang menggunakannya, mereka mengakses energi yang telah direkam dan kemudian mereplikasikannya."""
un_051010_0050#0,"""Saat Photoner menggunakan Photon sebagai sumber energi utama, mereka bisa melakukan lebih banyak hal."""
un_051010_0060#0,"""Bagaimana? Menjelaskannya agak sedikit sulit."""
un_051010_0070#0,"""Xion mungkin tidak bisa menjelaskannya dengan baik, dan hanya menunjukkan bagaimana cara menggunakannya sebagai energi."""
un_051010_0080#0,"""…………"""
un_051010_0090#0,"""Entah mengapa, aku bisa paham. Aku mengerti Photon lebih banyak dibanding kebanyakan orang."""
un_051010_0100#0,"""Namun, mengapa mereka bisa digunakan, bagaimana aku bisa menggunakannya, aku tidak bisa menjelaskan itu semua."""
un_051010_0110#0,"""Jika aku bisa menjelaskan semua itu, mungkin dunia ini akan menjadi tempat yang lebih baik."""
un_051010_0120#0,"""Aku penasaran jika orang-orang dapat tertawa dan tersenyum lebih banyak..."""
