st_056210_0010#0,"""...This castle is so different from Cuent's. It's got such a unique style."""
st_056210_0020#0,"""It's not like we have the resources to build something so extravagant. Wouldn't that just be a waste?"""
st_056210_0030#0,"""The palace was built for myself, after all, so I had it constructed by unoccupied citizens. Feel free to admire my benevolence as we walk."""
st_056210_0040#0,"""I have been awaiting your return, Your Divine Grace, Margareta."""
st_056210_0050#0,"""Huh? Aren't you..."""
st_056210_0060#0,"""I went through painstaking efforts just to give Your Divine Grace the chance to enjoy herself... Pray tell, was it to your liking?"""
st_056210_0070#0,"""Still, it was wholly unexpected that you would rush to Cuent for help. Even more so that they would honor your request."""
st_056210_0080#0,"""...Who were you again?"""
st_056210_0090#0,"""H-How could you forget your royal priest?! The one who taught you how to perform the summoning, that was me!"""
st_056210_0100#0,"""...Guess you can't actually keep up the fancy speech after all. I always knew you weren't much of a smooth talker."""
st_056210_0110#0,"""Of course I haven't forgotten. Were you hoping that God forgives traitors? It's your name that I can't remember."""
st_056210_0120#0,"""Hah! Really now, I can't tell if you're a genius or just an idiot. I suppose it's more entertaining that way, yes?"""
st_056210_0130#0,"""...You were in Verun!"""
st_056210_0140#0,"""So? Why did you return? Have you come to offer yourself up and surrender?"""
st_056210_0150#0,"""Not at all. This play is still missing something, so<br>I'm here to give it a push in the right direction."""
st_056210_0160#0,"""Hmmm. So you still plan on committing more evil acts? In the royal palace of the Divine Queen, Margareta?"""
st_056210_0170#0,"""You should be well aware that within these walls, my capabilities are limitless."""
st_056210_0180#0,"""?!"""
st_056210_0190#0,"""Margareta of Epic hereby decrees, that this room shall be your grave."""
st_056210_0200#0,"""Gah?!"""
st_056210_0210#0,"""Now, feast."""
st_056210_0220#0,"""W-What was that...?"""
st_056210_0230#0,"""Heavenly arts passed down in Epic. The power of miracles, given form through tireless devotion."""
st_056210_0240#0,"""Although, it can only be used here in the palace, and it's kind of gross-looking."""
st_056210_0250#0,"""Then, you would have been fine as long as you stayed here?"""
st_056210_0260#0,"""What good would it have been if I alone were kept safe? Should I have just let my country fall?"""
st_056210_0270#0,"""More importantly, you two have to be to sent home. They just need to be in the same spot they were summoned, and use the same spell, right?"""
st_056210_0280#0,"""Oh, yes! That is correct."""
st_056210_0290#0,"""Then come on over here. Don't worry, so long as you don't commit any sins, I can't call upon that power again."""
st_056210_0300#0,"""Alright, let's get this over with..."""
st_056210_0310#0,"""Checkmate, fool."""
st_056210_0320#0,"""Wh-what the?!"""
st_056210_0330#0,"""That's Ephimera...!"""
st_056210_0340#0,"""How careless of you, Divine Queen Margareta. Didn't I say I was here to move things along?"""
st_056210_0350#0,"""Killing me was the final push. The final push needed to take full control, see?"""
st_056210_0360#0,"""Your body will become an offering to a higher power. To receive...their gift."""
st_056210_0370#0,"""Ah! This is bad...! Screw it, this is all I can do! Go, return!"""
st_056210_0380#0,"""My body is...disappearing?!"""
st_056210_0390#0,"""Stop it, Divine Moron! You should be protecting yourself, not us! You moron!"""
st_056210_0400#0,"""Enough insolence! You can't die! I have an obligation to see you two off! Hurry up and go...home!"""
st_056210_0410#0,"""Lady Margareta!"""
st_056210_0420#0,"""Stay back, Queen of Cuent! You can't do anything about it now! Once it's started, there's no stopping it!"""
st_056210_0430#0,"""Just this once, I'll surrender! And be saved by a Guardian! Doesn't that sound right out of a storybook?"""
st_056210_0440#0,"""Why are you still hung up on that?!"""
st_056210_0450#0,"""Quiet, fairy! The reality is that I'm scared stiff, so just let me act cool for once!"""
st_056210_0460#0,"""I don't want to drag this out any longer, so I'm just going to give in and leave the rest to you... So you must save me! You absolutely must!"""
st_056210_0470#0,"""...You can count on me!"""
st_056210_0480#0,"""I'll make it as painless as possible!"""
st_056210_0490#0,"""Phew...Not bad at all, I say. The body has gone through quite the exquisite preparation. This new vessel of mine should serve magnificently."""
st_056210_0500#0,"""Readings, confirmed... There's no mistaking it. That's Dark Falz [Apprentice]!"""
st_056210_0510#0,"""What's this? Has this splendid assortment of playthings been gathered here just for me?"""
st_056210_0520#0,"""It's been ages since I've felt so alive... Won't you help me test this wonderful new power?"""
st_056210_0530#0,"""These readings are [Apprentice]'s, but... the parameters are nothing like normal!"""
st_056210_0540#0,"""If we have to deal with Marge's power in addition to [Apprentice]'s, our chance of winning is..."""
st_056210_0550#0,"""Even so, we can't back down."""
st_056210_0560#0,"""I promised I'd save her."""
st_056210_0570#0,"""...Yes, that's exactly right. We must save Lady Margareta...!"""
st_056210_0580#0,"""N-...!"""
st_056210_0590#0,"""Noooooooo! What is the meaning of this?!"""
st_056210_0600#0,"""Hideous! Tasteless! Sickening enough to scream! There's no way! This can't possibly be my true self, no way!"""
st_056210_0610#0,"""...E-Excuuuuse me?! How dare you speak in such a manner when faced with the pinnacle of beauty, you underdeveloped larva!"""
st_056210_0620#0,"""Shut up, shut up, shut up! Just hearing you speak is enough to make me dread becoming you!"""
st_056210_0630#0,"""Tch, a vessel should not speak! Know your place!"""
st_056210_0640#0,"""A queen's place is wherever she pleases! Are you really me?! You're way too dim-witted to be!"""
st_056210_0650#0,"""Close your mouth and receive your beating from the Guardian, without uttering another word!"""
st_056210_0660#0,"""For the sake of the world and all the people and my country and our God, but most of all for me!"""
st_056210_0670#0,"""She's still just as loud as ever even though she's being possessed... I guess Marge will always be Marge."""
st_056210_0680#0,"""Of course I will! Just who do you think you're talking about?! I am the great Divine Queen Margareta!"""
st_056210_0690#0,"""Only I may wield the holy power and do as I please with this country! Nobody else is allowed to!"""
st_056210_0700#0,"""And I absolutely will not accept that this... creature... is what I will look like in the future...!"""
st_056210_0710#0,"""So win! Guardian! Tear her to shreds, rip her to pieces!"""
st_056210_0720#0,"""Just leave it to me!"""
st_056210_0730#0,"""I'll make it as painful as possible!"""
st_056210_0740#0,"""I will!"""
st_056210_0750#0,"""That's not what you said earlier! Oh whatever, just do it!"""
st_056210_0760#0,"""...Just how long do you intend to make light of<br>me?!"""
name01#0,"""Royal Priest"""
name02#0,"""???"""
