st_058140_0250#0,"""Now, comrade. The real fun can begin. How about another round?"""
st_058140_0270#0,"""These readings...they're totally different from the Dark Falz we've seen before! They're on the same level as [Profound Darkness]...!"""
st_058140_0280#0,"""Of course they are. That is what I am."""
st_058140_0290#0,"""[Elder], [Apprentice], [Loser], [Double], and now [Persona]'s Factors are mine, and I've returned to a suitable vessel..."""
st_058140_0300#0,"""As [Profound Darkness] I can bring about true destruction by eradicating the Photons."""
st_058140_0310#0,"""The destruction of Photons will mean, of course, the destruction of the Akashic Record. I will tear apart all memories of the universe!"""
st_058140_0320#0,"""Joyful memories, sorrowful memories, bitter memories, pleasant memories, none will be spared destruction!"""
st_058140_0340#0,"""...I will not allow you."""
st_058140_0360#0,"""Harriet...?"""
st_058140_0370#0,"""You're...Harriet's soul...?! You should have faded away by now! Do you intend to defy me to the very end?!"""
st_058140_0380#0,"""...Though my appearance may seem strange, this soul is still my own."""
st_058140_0390#0,"""This soul of mine exists to protect my beloved home, and all its inhabitants... My spirit was born for that very reason!"""
st_058140_0400#0,"""Brother. At long last, I have found it. The reason for my being."""
st_058140_0410#0,"""...Guardian, legendary warrior of salvation. You must create a new legend here! Please... I beg of you!"""
st_058140_0430#0,"""We'll do it together."""
st_058140_0440#0,"""You'll tell my story."""
st_058140_0460#0,"""Ah...! Guardian, how can you still...?!"""
st_058140_0480#0,"""You defective soul!"""
st_058140_0485#0,"""Failure of a Dark Falz!"""
st_058140_0487#0,"""You vermin think you can accomplish anything?!"""
st_058140_0490#0,"""The world... The whole universe shall crumble! I'll erase everything, and write history anew!"""
st_058140_0510#0,"""You won't erase anything."""
st_058140_0520#0,"""I'll save everyone."""
st_058140_0530#0,"""...Agreed. To be erased by such a pitiful being would bring us untold shame."""
line01#0,"""Quest progress up to this point has been saved."""
name01#0,"""???"""
name02#0,"""???"""
