text01001#0,"""안녕하세요, <%me>씨!<br>해피 밸런타인데이예요!"""
11_voice_NPC_5624_104#0,"""……라고 말은 했지만, 사실<br>왜 이런 옷을 입고 여기 서 있는지<br>몰라서 곤란해하던 참이에요."""
text01003#0,"""뭐, 생각만 해도 소용없겠죠!<br>모두가 밸런타인을 즐길 수 있게<br>돕고 싶으니 협력 부탁드려요!"""
11_voice_NPC_5624_100#0,"""로비도 평소보다 훨씬 화려하네요!<br>귀여워요!"""
text03001#0,"""아, <%me>씨!<br>협력해 주셔서 감사합니다!"""
text03002#0,"""무리하지 않으시는 선에서<br>도와주시면 기쁘겠어요!"""
11_voice_NPC_5624_104#1,"""아, 이 옷 말인가요?<br>여자아이답고 귀여운 차림이지만<br>저한테는 안 어울리는 것 같아서요……"""
11_voice_NPC_5624_106#0,"""어, 어울린다고요……?<br>아아앗, 칭찬받으려고 한 말은<br>아니었는데, 몸 둘 바를 모르겠어요!"""
text05001#0,"""도와주셔서<br>정말 감사했습니다!"""
11_voice_NPC_5624_100#1,"""진짜 스트라토스도 지금쯤<br>열심히 하고 있을 거예요."""
text05003#0,"""그러니 저도 시간이 허락하는 한<br>모두가 밸런타인을 즐길 수 있도록<br>계속 열심히 할게요!"""
