Title#0,"""Primera prueba"""
Summary#0,"""<%me> se encuentra con Crawford, el líder de Ciudad Central, y se entera de que los Dolls conocidos como los Darks falls son los que destruyeron Ciudad Aerio.<br><br>Aina, que se ha curado de sus heridas, se une a ellos.<br>Los tres comienzan a aprender a luchar como ARKS."""
text0101#0,"""Dirígete al \""First Step\"" Cocoon"""
text0102#0,"""Entrar al \""First Step\"" Cocoon"""
Objective331#0,"""Aprender a dar patadas a la pared"""
Objective341#0,"""Completa \""First Step\"" Cocoon"""
Objective351#0,"""Regresa al campo"""
Objective361#0,"""Regresa al campo"""
Objective371#0,"""Diríjase a la Torre Central"""
Objective381#0,"""Habla con Crawford"""
Objective311#0,"""※※※※※※"""
Objective321#0,"""※※※※※※"""
