Title#0,"""Consejos de Oranje"""
Summary#0,"""A continuación, el operador, Oranje, le enseñará a utilizar el puesto de comida.<br><br>Para hacer comida rápida, primero debes obtener carne de los animales salvajes que viven en los alrededores de Central City"""
text0101#0,"""Habla con Oranje"""
text0102#0,"""Reunir carne silvestre"""
text0103#0,"""Someter a Dian para obtener Sharp Meat"""
text0104#0,"""Someter a Sunny para obtener Nourishing Meat"""
text0105#0,"""Someter a Patt para obtener Refreshing Meat"""
text0106#0,"""Someter a Moobel para obtener Healthy Meat"""
text0107#0,"""Crear comida rápida en el puesto de comida"""
Objective311#0,"""※※※※"""
Objective321#0,"""※※※※"""
Objective331#0,"""※※※※"""
Objective341#0,"""※※※※"""
