name01#0,"""Xiera"""
text01#0,"""ギアは攻撃のほか、<red>ジャストガードや<br>エネミー周辺で抜刀しながら移動しても<br>増加します。<c>やってみましょう！"""
text101#0,"""Task 2:<yellow>ギアを最大までためる<c>"""
train_title#0,"""Task 2:<yellow>ギアを最大までためる<c>"""
tut_title#0,"""エトワールウォンドギアについて"""
text100#0,"""・攻撃をヒットさせてギアをためる<br>・ウォンドを手に持った状態で<br>\u3000移動しギアをためる"""
tut_win_title#0,"""『エトワールウォンドギア』について"""
tut_win_text100#0,"""スキル「エトワールウォンドギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージは以下の行動で<br>増加させることができます。<br><yellow>・エネミーへの攻撃<br>・戦闘中の移動<br>・ジャストガード<c><br><br>ギアゲージはガードの維持で消費し<br>一定以上消費することで<br>強力な攻撃「プロテクトリリース」を<br>発動します。"""
tut_win_text101#0,"""「プロテクトリリース」<br><yellow>・武器アクション「チャージプロテクト」を<br> 発動し続け、ギアゲージを一定以上<br> 消費した後、武器アクションボタンを離す<c><br>自分の周囲へ強力な範囲攻撃を行います。<br>移動入力を行いながら<br>プロテクトリリースすることで<br>攻撃前に高速移動することができます。<br><br>※消費したギアゲージに応じて<br>   プロテクトリリースの性能を<br>   強化することが可能です。"""
tut_vita_text100#0,"""スキル「エトワールウォンドギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージは以下の行動で<br>増加させることができます。<br><yellow>・エネミーへの攻撃<br>・戦闘中の移動<br>・ジャストガード<c><br><br>ギアゲージはガードの維持で消費し<br>一定以上消費することで<br>強力な攻撃「プロテクトリリース」を<br>発動します。"""
tut_vita_text101#0,"""「プロテクトリリース」<br><yellow>・武器アクション「チャージプロテクト」を<br> 発動し続け、ギアゲージを一定以上<br> 消費した後、武器アクションボタンを離す<c><br>自分の周囲へ強力な範囲攻撃を行います。<br>移動入力を行いながら<br>プロテクトリリースすることで<br>攻撃前に高速移動することができます。<br><br>※消費したギアゲージに応じて<br>   プロテクトリリースの性能を<br>   強化することが可能です。"""
