name01#0,"""Xiera"""
11_voice_train_04001#0,"""こんにちは！<br>これから「デュアルブレードの基礎」に<br>ついて訓練します！"""
text02#0,"""エトワールは<red>近接攻撃<c>にくわえて<br><red>強力な防御手段<c>と<red>支援スキル<c>を持つ<br>後継クラスです。"""
text03#0,"""武器は<red>ダブルセイバー<c>と<br><red>デュアルブレード<c>、<red>ウォンド<c>の<br>３つを使って戦います。"""
text04#0,"""今回は、デュアルブレードを使った<br>エトワールの戦い方を学びます。<br>では、さっそく始めましょう！"""
text05#0,"""エトワールのデュアルブレードは<br><red>攻撃の手を止めずに、継続して<br>ダメージを与える<c>ことが得意です。"""
text06#0,"""デュアルブレードの武器アクションには<br>２つの機能があります。<br>まずは<red>「パリィ」<c>から。"""
text07#0,"""エネミーの攻撃に合わせて<br>武器アクションで「パリィ」すると<br><red>防御と同時に攻撃が発生<c>します。"""
text08#0,"""じつは、この「パリィ」は<br><red>移動中や攻撃中にも使える<c>んですよ！<br>早速やってみましょう！"""
text101#0,"""Task 1:<yellow>パリィを使ってエネミーの攻撃を防ぐ<c>"""
train_title#0,"""Task 1:<yellow>パリィを使ってエネミーの攻撃を防ぐ<c>"""
tut_title#0,"""パリィについて"""
text100#0,"""・エネミーの攻撃が当たる直前に<br>\u3000武器アクション<%WeaponAction>でガード"""
text100_3b#0,"""・エネミーの攻撃が当たる直前に<br>\u3000武器アクション<%MainPaletteC>でガード"""
tut_win_title#0,"""『エトワールデュアルブレードの武器アクション』について"""
tut_win_text100#0,"""エトワールデュアルブレードは<br>武器アクション「パリィ」によって<br>全方位からの攻撃をガードすることができ<br>ガードを成功させることで<br>カウンター攻撃が発動します。<br><br>ＰＡなどのアクション中でも使用でき<br>こちらの攻撃の手を止めることなく<br>エネミーからの攻撃を防ぐことができます。"""
tut_win_text101#0,"""「ステップエッジ」<br><yellow>・ステップ中に武器アクション<c><br>エッジを投擲し、離れた敵を攻撃します。<br><br>有利な位置取りや次の攻撃への繋ぎとして<br>上手に活用しましょう。"""
