name01#0,"""Xiera"""
text01#0,"""ダブルセイバーのクラススキルには<br>習得すると<red>アクションが変化<c>する<br>ものがあるんです！"""
text02#0,"""そのひとつが<br><red>「スキップアーツ」<c>です。"""
text03#0,"""「スキップアーツ」を習得すると<br>ＰＡの前半をスキップして<br><red>ＰＡの後半だけを素早く発動<c>できます！"""
text04#0,"""「スキップアーツ」習得後でも<br><red>方向入力した状態で<c>ＰＡを使うと<br>ＰＡの前半からすべて発動します。"""
text05#0,"""方向入力せずにＰＡを使うと<br>「スキップアーツ」の特徴である<br><red>ＰＡの後半だけ<c>を発動できますよ！"""
text06#0,"""まずは、普通のＰＡの確認です。<br><red>方向入力をしながら<c><br>ＰＡを使ってみましょう！"""
text101#0,"""Task 3:<yellow>Use the PA while moving in a direction<c>"""
train_title#0,"""Task 3:<yellow>Use the PA while moving in a direction<c>"""
tut_title#0,"""Photon Arts"""
text100#0,"""・While moving in a direction,<br>\u3000use the <%PhotonArts> button"""
tut_win_title#0,"""Etoile Double Saber Specific Skill"""
tut_win_text100#0,"""Etoile's Double Saber has many unlockable<br>special actions and skills.<br>Make sure to get skills that compliment your<br>style of battle and customize them.<br><br>[Double Saber Step Slide]<br><yellow>・Step again after step<c><br>You will move forward smoothly<br>until you stop holding a direction.<br>*Movement speed increases while locked on."""
tut_win_text101#0,"""[Double Saber Skip Arts]<br><yellow>・Activate the PA without directional input<c><br>This will skip the first part of the PA<br>and go right into the second part.<br><br><yellow>・Activate the PA with directional input<c><br>When you don't have certain skills learned, the PA may<br>act this way at all times."""
tut_win_text102#0,"""[Double Saber Quick Take]<br><yellow>・Occurs after PA or weapon action<br>\u3000When used properly with the timing guide<br>\u3000Normal attack or weapon action<br><c>This allows you to attack while approaching the enemy quickly.<br><br>[Double Saber Step Guard]<br><yellow>・Lock onto an enemy to step faster<c><br>This makes it easier to Just Guard against enemy attacks and<br>perform high-speed counter attacks."""
