name_7438#0,"""Vienne"""
ssn_014970_0001_001#0,"""Thanks for taking the time to get this image data for me."""
ssn_014970_0001_002#0,"""I can't wait to go there myself... I hope I can wrap my mission up soon..."""
ssn_014970_0001#0,"""There you are. Great timing."""
ssn_014970_0002#0,"""Can you do me another favor? There's another place I'd like you to visit for me."""
ssn_014970_0101#0,"""As you can see, it's a perilously steep mountain, but I wouldn't ask you if I didn't believe you could do it."""
ssn_014970_0102#0,"""Again, take as much time as you want with this request. There's no rush. Thanks again."""
ssn_014970_0201#0,"""Don't worry about it. Your missions take priority."""
ssn_014970_1001#0,"""There you are. Good to see you."""
ssn_014970_1002#0,"""Would you be willing to hear yet another selfish request of mine?"""
ssn_014970_1101#0,"""I've started wanting to pay a visit to Rayjord Gorge after all these years."""
ssn_014970_1201#0,"""Don't worry about it. Your missions take priority."""
ssn_014970_1301#0,"""I mean to get back in touch with Bergmann and Wallace after my mission here is complete."""
ssn_014970_1302#0,"""It'll be nice to talk about the old days... Hehe, I can't wait..."""
ssn_014970_1102#0,"""The waterfall is north of the Gorge. You shouldn't have to head into the coldest areas."""
ssn_014970_1103#0,"""Check the coordinates before you leave."""
