Title#0,"""Wild Easter 2019"""
Explanation#0,"""たいへん、たいへん！<br>地球のラスベガスで、イースターイベントの<br>会場周辺に幻創種とエスカダーカーが<br>いっぱい現れちゃったの……！<br>これじゃあイベントが中止になっちゃうよ！<br>お願い！\u3000みんなのためにも会場周辺に<br>現れたエネミーたちを追い払って！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、転送を開始します。<br>今回の目的は、会場周辺に出現した<br>エネミーの撃退です！"""
NpcComMsg2#0,"""多数の幻創種およびエスカダーカーが<br>進路を妨害してくるものと思われます。<br>協力して進んでください！"""
NpcComMsg3#0,"""最深部では<br>強力な反応も検知されています。<br>くれぐれも、ご注意を！"""
SimpleExplanation#0,"""Head to the final area!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
