name01#0,"""Сиерра"""
text01#0,"""Каунтер при удачном<br>своевременном блокировании<br>атаки врага,<red> парирует<br>весь урон и контратакует<br>врагов<c>!"""
text02#0,"""Подобен Just Guard хантера,<br>но каунтер <red>с более<br>агрессивной защитой<c>."""
text03#0,"""Наблюдайте за движениями<br>противника и попытайтесь<br>выполнить каунтер."""
text101#0,"""2-я задача: <yellow>Выполните 3 каунтера"""
train_title#0,"""2-я задача: <yellow>Выполнить 3 каунтера"""
tut_title#0,"""Каунтер"""
text100#0,"""・Перед атакой врага<br>Выполните каунтер <%WeaponAction>"""
text100_3b#0,"""・Перед атакой врага<br>Выполните каунтер <%MainPaletteC>"""
tut_win_title#0,"""Каунтер"""
tut_win_text100#0,"""С катаной вы можете <c 00ffff>выполнять каунтер<br>с помощью кнопки действия.<c><br><br>Вы можете парировать каунтером только урон от атак<br>спереди, но будьте осторожны, так как атаки<br>со спины парировать не выйдет."""
tut_win_text101#0,"""В нужный момент выполнив каунтер перед атакой<br>противника, можно обнулить урон и выполнить<br>контратаку."""
tut_win_text102#0,"""Кроме того, можно получить бонус к силе атаки<br>и критическому урону на определённый промежуток<br>времени, активируя каунтер с максимальным Gear."""
