msc_011300_0010#0,"""ランが言ってた<br>ほかのアークスってどこだろう？"""
msc_011300_0020#0,"""近くに、反応はないわね。<br>……それに通信の状態が悪くなってきたわ。"""
msc_011300_0030#0,"""ヴァンフォード研究所跡に、大型ドールズ接近！"""
msc_011300_0040#0,"""!?<br>こちらには何も……？"""
msc_011300_0050#0,"""……これって……。<br>みなさんの、真上です！"""
msc_011300_0060#0,"""なっ……！"""
msc_011300_0070#0,"""データ照合、ダイダルと特定！<br>ダイダルによるジャミングでモニタリングが不安定です！"""
msc_011300_5010#0,"""うわっ！"""
msc_011300_5020#0,"""うっ！"""
msc_011300_0080#0,"""……大きい……。"""
msc_011300_0090#0,"""誰か、戦ってる!?"""
msc_011300_0100#0,"""……行くしかなさそうね。"""
