name_7006#0,"""สแต๊กกี้ (Staggy)"""
msn_011350_020_0001#0,"""เฮ้! ตัดสินใจได้ฉลาดมากเลยนะที่มาที่เซ็นทรัล ยินดีต้อนรับ!"""
msn_011350_020_0002#0,"""เราสู้ เราชนะ และเราก็หาเงิน จนกว่าอุปกรณ์ของเราจะยอดเยี่ยมที่สุด ที่นี่แหละคือที่สร้างความฝันล่ะ เพื่อนเอ๋ย!"""
msn_011350_020_0101#0,"""โอ๊ะ? เมื่อกี้ว่าไงนะ?"""
msn_011350_020_0102#0,"""บอกว่าอยากได้ความรู้ที่มีประโยชน์ในการต่อสู้งั้นเหรอ?"""
msn_011350_020_0103#0,"""นึกว่าจะไม่ถามซะแล้ว!"""
msn_011350_020_0104#0,"""พร้อมรึยัง? ฟังให้ดีนะ อาวุธน่ะ... มันรวมร่างกันได้ด้วย!"""
msn_011350_020_0105#0,"""เขาเรียกมันว่า 'Multi-Weapon' และใช่ มันเจ๋งเหมือนชื่อเลยล่ะ อยากลองทำดูสักอันไหมล่ะ?"""
msn_011350_020_0106#0,"""Multi-Weapon สามารถทำได้ที่... ทายถูกด้วยล่ะสิ ที่ Item Lab ไงล่ะ"""
msn_011350_020_0107#0,"""เธอสามารถรวมอาวุธสองชิ้นที่เป็นซีรีส์เดียวกันได้ อย่างเช่น Prim กับ Prim, Resurge กับ Resurge อะไรทำนองนี้"""
msn_011350_020_0108#0,"""อ้อ แต่เธอต้องใช้แร่เป็นตัวเร่งปฏิกิริยาด้วยนะ อย่าลืมล่ะ!"""
msn_011350_020_0109#0,"""แต่เดี๋ยวก่อน ยังมีอีกนะ! ฉันจะให้แร่พวกนั้นกับเธอ ถือซะว่าให้ฟรีๆ ในรอบนี้ก็แล้วกัน เอาล่ะ ทีนี้ก็ไปที่ Item Lab ได้แล้ว!"""
msn_011350_020_0201#0,"""ได้รับ Photon Quartz x20 และ 50000 <pict reb_meseta> N-Meseta"""
msn_011350_020_0301#0,"""ได้รับ Photon Quartz x2 และ 200 <pict reb_meseta> N-Meseta"""
msn_011350_020_0401#0,"""เป็นไงล่ะ? รู้สึกยังไงบ้างที่ได้สร้าง Multi-Weapon ของตัวเอง?"""
msn_011350_020_0402#0,"""ฉันก็ไม่รู้หรอกนะว่ามันคืออะไร แต่มันมีความสวยงามบางอย่างซ่อนอยู่ในการรวมร่างกันนะ ว่าไหม?"""
msn_011350_020_0403#0,"""แถมการรวมอาวุธสองชิ้นเข้าด้วยกัน ยังช่วยเพิ่มตัวเลือกในการโจมตีเป็นสองเท่าอีกต่างหาก! ฮู้ว ตื่นเต้นชะมัด!"""
msn_011350_020_0404#0,"""ทีนี้ก็ออกไปลุย ลองผสมผสานอะไรใหม่ๆ แล้วสร้างอาวุธระดับเทพขึ้นมาให้ได้ล่ะ!"""
