msc_011330_0010#0,"""...ฟู่"""
msc_011330_0020#0,"""สู้ได้ดีมากเลยนะ ไอน่า"""
msc_011330_0030#0,"""ขอบใจนะ มาน่อน"""
msc_011330_0040#0,"""ระบบสื่อสารกลับมาใช้งานได้แล้วค่ะ สัญญาณของ Daedal ถูกกำจัดแล้ว"""
msc_011330_0050#0,"""พวกคุณสามคนจัดการ Daedal ได้งั้นเหรอ? ยอดไปเลยค่ะ!"""
msc_011330_0060#0,"""นั่นเสียงอะไรน่ะ?"""
msc_011330_0070#0,"""กำลังตรวจสอบค่ะ... เดี๋ยวนะ อะไรกันเนี่ย?!"""
msc_011330_0080#0,"""ระหว่างที่ลาดตระเวนอยู่ในป่าเรซอล (Resol Forest) ทีมของบรูเดอร์ (Bruder) ก็ขาดการติดต่อไปค่ะ..."""
msc_011330_0090#0,"""ว่าไงนะ?!"""
msc_011330_0110#0,"""กำลังสแกนพื้นที่รอบๆ อยู่ค่ะ!"""
msc_011330_0120#0,"""รัน (Ran) ประกาศเรียกประชุมฉุกเฉิน ARKS ทุกคนด่วน"""
msc_011330_0130#0,"""รับทราบค่ะ"""
msc_011330_0140#0,"""ประกาศเรียกประชุมฉุกเฉินจากครอว์ฟอร์ด (Crawford) ค่ะ ขอให้ ARKS ทุกคนเดินทางกลับมาที่เซ็นทรัลซิตี้ (Central City) ด่วนค่ะ"""
msc_011330_0150#0,"""ขะ-เข้าใจแล้ว"""
