name_7700#0,"""Sheridan"""
ssn_014450_0001#0,"""Hm? You're an ARKS from Aelio? What'd you come here for?"""
ssn_014450_0002#0,"""I'll give you one word of advice. Don't take the desert lightly."""
ssn_014450_0003#0,"""It's a harsh environment, full of tough enemies... The slightest misstep could be fatal."""
ssn_014450_0101#0,"""You're the ones that gathered those ingredients? Hmph, woulda been me out there if it weren't for these damn injuries..."""
ssn_014450_0102#0,"""Still, you did help us out. I owe you some thanks for that."""
ssn_014450_0201#0,"""...What? You here to bring me flowers?"""
ssn_014450_0202#0,"""Hah, save your sympathy."""
ssn_014450_0203#0,"""...Actually, this is perfect. I've got a mission for you."""
ssn_014450_0301#0,"""I need you to check out some campgrounds in my place. I'm sending you the coordinates right now."""
ssn_014450_0302#0,"""This is a real mission here, so no half-assing it."""
ssn_014450_0401#0,"""Oh, that's fine... Get outta here."""
ssn_014450_0501#0,"""I owe you."""
ssn_014450_0502#0,"""If you ever run into any trouble just let me know, okay?"""
