msc_022190_0010#0,"""อ๊ะ มาจริงๆ ด้วย ขอบใจนะ"""
msc_022190_0020#0,"""ดีใจจังที่เห็นว่าดูร่าเริงขึ้นมาบ้างแล้วล่ะ"""
msc_022190_0030#0,"""พละกำลังกลับมาแล้วใช่ไหม?"""
msc_022190_0040#0,"""อื้ม ต้องขอบคุณพวกเธอทุกคนเลยล่ะ"""
msc_022190_0050#0,"""อื้ม กลับมาเป็นปกติแล้วล่ะ"""
msc_022190_0060#0,"""เด็กผู้หญิงคนนั้นมาเยี่ยมตอนที่หมดสติไปน่ะ"""
msc_022190_0070#0,"""เธอแวะมาอีกหลายครั้ง พยายามจะเข้ามาคุยด้วยทีละนิดๆ..."""
msc_022190_0080#0,"""แต่ตอนนั้น เอาแต่ผลักไสทุกคนออกไปจากใจ<br>ก็เลยไม่ได้ฟังสิ่งที่เธอพูดเท่าไหร่เลย..."""
msc_022190_0090#0,"""แต่ตอนนี้ คิดว่าพวกเราเริ่มจะเข้าใจกันขึ้นมาบ้างแล้วล่ะ..."""
msc_022190_0100#0,"""ก็นะ ในที่สุดก็ยอมบอกความรู้สึกให้ทุกคนได้รับรู้สักทีนี่นะ"""
msc_022190_0110#0,"""แล้วตอนที่ฟื้นขึ้นมาล่ะเป็นยังไงบ้าง?"""
msc_022190_0120#0,"""อ๊ะ..."""
msc_022190_0130#0,"""อูย..."""
msc_022190_0140#0,"""แค่คิดถึงเรื่องนั้นก็หน้าแดงไปหมดแล้วเนี่ย..."""
msc_022190_0150#0,"""เธอเอาเรื่องนั้นมาล้อด้วยซ้ำล่ะ 'สุดท้ายก็แสดงอารมณ์ออกมาได้นี่นา!' เธอบอกแบบนั้นแหละ..."""
msc_022190_0160#0,"""ก็ไม่รังเกียจหรอกนะที่จะได้เห็นมุมนั้นบ้างน่ะ"""
msc_022190_0170#0,"""มาน่อนเนี่ยนะ? มีอารมณ์ความรู้สึก? เธอก็พูดถูกนะ"""
msc_022190_0180#0,"""อ้าว... ไม่คิดแบบนั้นเหรอ...?"""
msc_022190_0190#0,"""แล้วตอนนี้ก็โดนล้ออีก..."""
msc_022190_0200#0,"""ทั้งหมดมันก็เป็นความผิดของเธอตั้งแต่แรกเลยนะ รู้ไหม?"""
msc_022190_0210#0,"""อยู่ๆ ก็เอาขึ้นหน้าจอแบบนั้น..."""
msc_022190_0220#0,"""...แต่ก็ ใช่..."""
msc_022190_0230#0,"""พูดตามตรงเลยนะ ตัวเองก็ไม่คิดเหมือนกันว่าจะสามารถพูดอะไรแบบนั้นออกมาได้ทั้งหมดน่ะ"""
msc_022190_0240#0,"""การใช้ชีวิตอยู่ที่นี่เปลี่ยนฉันไปจริงๆ..."""
msc_022190_0250#0,"""..."""
msc_022190_0260#0,"""นี่... <%me>?"""
msc_022190_0270#0,"""ขอร้องอะไรอย่างนึงได้ไหม?"""
msc_022190_0280#0,"""ได้สิ"""
msc_022190_0290#0,"""อะไรเหรอ?"""
msc_022190_0300#0,"""เอ่อ... คือว่า..."""
msc_022190_0310#0,"""ใช้ชีวิตส่วนใหญ่อยู่ในสภาพแวดล้อมที่แปลกประหลาดของพวก Resurgent ARKS น่ะ"""
msc_022190_0320#0,"""...ดังนั้น ในอนาคตอาจจะเผลอทำเรื่องผิดพลาดขึ้นมาอีกก็ได้..."""
msc_022190_0330#0,"""ถ้าเกิดทำตัวแปลกๆ ขึ้นมาอีก ช่วยเตือนสติให้อีกได้ไหม?"""
msc_022190_0340#0,"""จะดีใจมากเลยถ้าทุกคน—"""
msc_022190_0350#0,"""ไม่สิ จะดีใจมากถ้า 'เธอ' เป็นคนทำแบบนั้นให้น่ะ"""
msc_022190_0360#0,"""แบบนั้นจะ... ได้ไหม?"""
msc_022190_0370#0,"""ได้แน่นอนสิ"""
msc_022190_0380#0,"""พวกเราลงเรือลำเดียวกันแล้วนี่นา"""
msc_022190_0390#0,"""..."""
msc_022190_0400#0,"""...ขอบคุณนะ"""
