name_7430#0,"""후방 지원"""
ssn_014880_0001#0,"""수주가능"""
ssn_014880_0101#0,"""수주하지 않는다"""
ssn_014880_0201#0,"""납품하겠습니까?"""
ssn_014880_0301#0,"""양파를 10개 건네준다"""
ssn_014880_0302#0,"""그만둔다"""
ssn_014880_0401#0,"""고마워"""
ssn_014880_0402#0,"""부족해"""
ssn_014880_0403#0,"""다 모으면 다시 와줘"""
ssn_014880_1001#0,"""수주가능"""
ssn_014880_1101#0,"""수주하지 않는다"""
ssn_014880_1201#0,"""납품하겠습니까?"""
ssn_014880_1301#0,"""배추를 10개 건네준다"""
ssn_014880_1302#0,"""그만둔다"""
ssn_014880_1401#0,"""고마워"""
ssn_014880_1402#0,"""부족해"""
ssn_014880_1403#0,"""다 모으면 다시 와줘"""
ssn_014880_2001#0,"""수주가능"""
ssn_014880_2101#0,"""수주하지 않는다"""
ssn_014880_2201#0,"""납품하겠습니까?"""
ssn_014880_2301#0,"""연무를 10개 건네준다"""
ssn_014880_2302#0,"""그만둔다"""
ssn_014880_2401#0,"""고마워"""
ssn_014880_2402#0,"""부족해"""
ssn_014880_2403#0,"""다 모으면 다시 와줘"""
ssn_014880_2501#0,"""달성됨"""
