WINDOW_TITLE#0,"""어떻게 할까?"""
CLOSE_MENU#0,"""자리를 떠나기"""
START_CLIENT_ORDER#0,"""클라이언트 오더"""
START_TALK#0,"""대화하기"""
MB_ACCEPT#0,"""수락"""
MB_REPORT#0,"""보고하기"""
MB_REJECT#0,"""거절"""
TICKET_BOARD#0,"""패스 발행"""
ARKSROAD_FORM#0,"""아크스 로드 달성 확인"""
ARKSROAD#0,"""아크스 로드에 대해"""
ARKSMISSION_FORM#0,"""아크스 미션"""
KNOWLEDGE#0,"""아스타르테의 개인수업"""
SHIP_BATTLE_MENU#0,"""아크스쉽 대항전"""
SHOP_PASTRY#0,"""나우라의 케이크 가게"""
SHAO1#0,"""협력을 요청하기"""
SHAO2#0,"""기본지식 복습"""
SHAO3#0,"""현재상황 확인"""
PRESENT_POINT#0,"""$(0)에게 선물을 받을 수 있습니다"""
PET_LIMIT_BREAK#0,"""펫의 한계 돌파 의뢰"""
SUMMONER_MENU#0,"""서모너의 설명을 듣기"""
STORY_BOARD#0,"""스토리보드【EP4】"""
EVENT_CHRONICLE#0,"""이벤트 크로니클"""
SUMMONER_MENU1#0,"""펫의 설명에 관해"""
GAT_TUTORIAL#0,"""개더링의 설명을 듣기"""
GAT_TUTORIAL1#0,"""스킬링의 설명을 듣기"""
EQUIP_NOTE#0,"""콜렉트 파일"""
EQUIP_NOTE_TUTORIAL#0,"""『콜렉트 파일』에 대해"""
ArksLeague#0,"""리그 보상 수령하기"""
ArksLeagueRanking#0,"""최신 리그 정보 열람"""
Arks_Tut#0,"""『아크스 리그』에 대해"""
INVITE_REWARD#0,"""초대보상"""
FCap_Tut#0,"""『패미통컵』에 대해"""
GetPokaRankingReward#0,"""배틀랭킹 보상 수령하기"""
Celestial_Sphere#0,"""경치 변경"""
EP4_CHANGE_SIERRA#0,"""EP4모드로 변경"""
EP5_CHANGE_SIERRA#0,"""EP5모드로 변경"""
ALMA_MENU#0,"""질문하기"""
HERO_MENU01#0,"""ヒーローの説明を聞く"""
PHANTOM_MENU01#0,"""팬텀의 설명을 듣기"""
RECYCLESHOP_JIG_TITLE1#0,"""証교환샵 """
QC_STORY_EP5#0,"""메인퀘스트【EP5】"""
QC_OMNIBUS#0,"""옴니버스퀘스트【EP1~3】"""
QC_OMNIBUS_EP1#0,"""EPISODE 1"""
QC_OMNIBUS_EP2#0,"""EPISODE 2"""
QC_OMNIBUS_EP3#0,"""EPISODE 3"""
RECYCLESHOP_JIG_TITLE01#0,"""크리시스 시리즈 업그레이드<pict Fresh>"""
RECYCLESHOP_JIG_TITLE02#0,"""장비품 업그레이드"""
RECYCLESHOP_JIG_TITLE03#0,"""기타 아이템 입수"""
RECYCLESHOP_JIG_TITLE04#0,"""발 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE05#0,"""네메시스 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE06#0,"""슬레이브 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE07#0,"""아트라 시리즈 무기 카테고리 변경<pict Fresh>"""
BEGINNER_GUIDE#0,"""아크스 핸드북"""
SCQ_ITEMSHOP_TITTLE#0,"""아이템샵"""
TICKETSHOP_ES_TITTLE01#0,"""기간 한정 교환샵(~2018년10월10일11시00분)"""
TICKETSHOP_ES_TITTLE03#0,"""기간 한정 교환샵(~2019년9월4일11시00분)"""
TICKETSHOP_ES_TITTLE04#0,"""기간 한정 교환샵(~2019년10월2일11시00분)"""
TICKETSHOP_ES_TITTLE02#0,"""기간 한정 교환샵(~2019년5월15일11시00분)"""
RECYCLESHOP_JIG_TITLE08#0,"""패자의 문장으로 ★14무기 입수"""
RECYCLESHOP_JIG_TITLE09#0,"""인베이드-NT 시리즈 입수"""
RECYCLESHOP_JIG_TITLE10#0,"""신세무기 입수"""
RECYCLESHOP_JIG_TITLE11#0,"""마물 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE12#0,"""쥬티스 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE13#0,"""호무라 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE14#0,"""왕자의 문장으로 ★14무기 입수"""
RECYCLESHOP_JIG_TITLE15#0,"""아레스-NT 시리즈 무기 카테고리 변경"""
RECYCLESHOP_JIG_TITLE16#0,"""세레 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE17#0,"""★15무기 입수"""
RECYCLESHOP_JIG_TITLE18#0,"""심원 시온 시리즈 업그레이드"""
