name_7245#0,"""셰미"""
ssn_019310_002_0010#0,"""…아, 안녕하세요<br>와주셔서… 감사합니다."""
ssn_019310_002_0020#0,"""제가 하고싶다던 얘기는…<br>지금, 할파 전역에서 일어나고 있는… 일입니다."""
ssn_019310_002_0030#0,"""시즌 심볼이 달린… 에너미가 늘어나고 있고,<br>다른 에너미도… 활동이 활발해지고 있습니다."""
ssn_019310_002_0040#0,"""새로운 장비의 개발을 위해…<br>그 데이터를 수집하고 싶은데요."""
ssn_019310_002_0050#0,"""당신도…<br>또 도와주실 수 있으신가… 싶어서요."""
ssn_019310_002_0060#0,"""앗… 그 얼굴은…<br>오케이라는 것이겠죠."""
ssn_019310_002_0070#0,"""…그렇겠죠?"""
ssn_019310_002_0080#0,"""그, 그럼… 힘내세요!"""
ssn_019310_002_0900#0,"""에너미의…<br>데이터 수집, 어떠신가요?"""
ssn_019310_002_0910#0,"""제, 제가 도와드릴 수 있는 게<br>있나요…?"""
npc_menu_0010#0,"""시즈널 포인트로 교환하기 ($(0) 까지)"""
npc_menu_0020#0,"""뉴 이어'24의 시즈널 포인트로 교환하기 ($(0) 까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0) 까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0) 까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 묻기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대하여"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 대하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대하여"""
npc_menu_1050#0,"""\""랜더마이트\""에 대하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
