un_012560_0005#0,"""【對你而言的ARKS是......】<br>暫用文字"""
un_012560_0010#0,"""啊，<%me>。<br>每次遇見你，都會看到<br>你在努力偵查些什麼。"""
un_012560_0020#0,"""真可說是<br>ARKS的典範......"""
un_012560_0030#0,"""啊，不繞圈子了。<br>正好順便問你一下。"""
un_012560_0040#0,"""ARKS對外隱瞞<br>納貝流士的遺跡，這件事情<br>你做何感想？"""
un_012560_0050#0,"""例如說不信任高層，<br>還是不會這麼想，之類的"""
un_012560_0060#0,"""......呵，這種事情<br>果然不好輕易開口。<br>對不住，問了個不該問的問題。"""
un_012560_0070#0,"""對於必要的事物，要自行了解<br>並逐步自我判斷，<br>這是瑪麗亞說過的，我也很贊同。"""
un_012560_0080#0,"""最重要的，自己花費功夫<br>獲知的事情，不太容易忘記。"""
un_012560_0090#0,"""所以，為了求知而自發行動，<br>之後再逐步自我判斷就好。"""
un_012560_0100#0,"""接觸到納貝流士秘密的你，<br>有朝一日一定......"""
un_012560_0110#0,"""不，這才真的妄言了。"""
un_012560_0120#0,"""那，我先走一步了。"""
