11_voice_NPC_5053_100#0,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_100#1,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_100#2,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_100#3,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_100#4,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_100#5,"""突然變異這個詞真是美啊。<br>稀有這個詞也好棒。<br>你不這樣覺得麼？"""
11_voice_NPC_5053_101#0,"""稀有品種是如何誕生的呢。<br>你不覺得可以從生態系統<br>來導出一個答案麼？"""
Npc53_07_020#0,"""不過我還想不到原因。<br>稀有品種與通常品種"""
11_voice_NPC_5053_101#1,"""稀有品種是如何誕生的呢。<br>你不覺得可以從生態系統<br>來導出一個答案麼？"""
Npc53_08_020#0,"""不過我還想不到原因。<br>稀有品種與通常品種"""
11_voice_NPC_5053_101#2,"""稀有品種是如何誕生的呢。<br>你不覺得可以從生態系統<br>來導出一個答案麼？"""
Npc53_mb9_020#0,"""不過我還想不到原因。<br>稀有品種與通常品種"""
11_voice_NPC_5053_101#3,"""稀有品種是如何誕生的呢。<br>你不覺得可以從生態系統<br>來導出一個答案麼？"""
Npc53_mb10_020#0,"""不過我還想不到原因。<br>稀有品種與通常品種"""
11_voice_NPC_5053_101#4,"""稀有品種是如何誕生的呢。<br>你不覺得可以從生態系統<br>來導出一個答案麼？"""
Npc53_mb11_020#0,"""不過我還想不到原因。<br>稀有品種與通常品種"""
11_voice_NPC_5053_104#0,"""真是個難題啊。<br>到底是何者先出現的呢？"""
Npc53_mb12_020#0,"""是因為通常品種增加，才使得數量減少呢？<br>還是因為稀有品種是通常品種衍生出來的，所以才這麼少呢？<br>兩個原因差異很大，到底那個才是對的呢？"""
11_voice_NPC_5053_104#1,"""真是個難題啊。<br>到底是何者先出現的呢？"""
Npc53_mb13_020#0,"""是因為通常品種增加，才使得數量減少呢？<br>還是因為稀有品種是通常品種衍生出來的，所以才這麼少呢？<br>兩個原因差異很大，到底那個才是對的呢？"""
11_voice_NPC_5053_104#2,"""真是個難題啊。<br>到底是何者先出現的呢？"""
Npc53_mb14_020#0,"""是因為通常品種增加，才使得數量減少呢？<br>還是因為稀有品種是通常品種衍生出來的，所以才這麼少呢？<br>兩個原因差異很大，到底那個才是對的呢？"""
Npc53_mb18_010#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。"""
11_voice_NPC_5053_104#3,"""それとも環境に適応するために<br>希少種から通常種が生まれたのか。<br>どちらが先なのだろうか……"""
sq01_010#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#4,"""二年の時を経ても、いまだに不明。<br>だからこそ、調べがいがある。"""
ep6_sq00_01#0,"""環境の変化によって<br>通常種から希少種が生まれるのか<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#5,"""継続的に調査を行っているが<br>その仔細はいまだに不明。<br>だからこそ、調べがいがある。"""
ep5_sq00_01#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#6,"""継続的に調べていても<br>その仔細はいまだに不明。<br>だからこそ、調べがいがある。"""
11_voice_NPC_5053_101#5,"""平和が訪れたことによって<br>研究に集中できそうだ。"""
text02#0,"""これから生物の突然変異が<br>どのように生じるか。<br>じっくり観察していくことにしよう。"""
