st_056130_0010#0,"""咔咔咔ー！"""
st_056130_0020#0,"""咳……不愧是守護輝士。<br>聽瑪托依說了幾百次的<br>不對，是更強大的力量。"""
st_056130_0030#0,"""不過，畢竟我只是個虛僞的容器。<br>根本比不了其他四天王……"""
st_056130_0040#0,"""強烈的光線也會投下巨大的陰影。<br>在這裏倒下或許<br>更好……"""
st_056130_0050#0,"""……沒用。<br>即使有再強大的敵人在等着<br>我也絕對ー不會放棄這個國家！"""
st_056130_0060#0,"""喔，大家！<br>讓我們前往下一個敵人所在吧！<br>爲了拯救艾匹克！"""
st_056130_0070#0,"""喂，瑪露。"""
st_056130_0080#0,"""看着我"""
st_056130_0090#0,"""啊，啊哈哈……"""
st_056130_0100#0,"""瑪ー露ー桑？<br>該向我們說明了吧？"""
st_056130_0110#0,"""啊啦，這是一個解放了被敵人支配的<br>國家的我很厲害！<br>這樣感覺的故事，沒覺得麼？"""
st_056130_0120#0,"""我和守護輝士一起拯救了國家什麼的<br>我想留下這樣的傳說。<br>強大的人都是有這樣的傳說。"""
st_056130_0130#0,"""要是召喚出守護輝士的話<br>那樣的故事不就可以發生了麼<br>有人對我這麼說……"""
st_056130_0140#0,"""誰說的？"""
st_056130_0150#0,"""我的侍從……神官。<br>那傢伙，這四個人出來的時候<br>就不知道溜到哪裏去了……"""
st_056130_0160#0,"""……我們也放棄這個國家吧？"""
st_056130_0170#0,"""不、不行啊！<br>怎麼可放棄啊！"""
st_056130_0180#0,"""不管動機是什麼，現在徒花的影響<br>就在那裏……<br>就這樣放棄的話，國民就太可憐了。"""
st_056130_0190#0,"""……嗚。我已經在反省了。<br>非常深，非常深的反省。"""
st_056130_0200#0,"""有了傳說，有了英雄<br>雖說不能填飽肚子……<br>但是或許可以填補內心的空缺……什麼的。"""
st_056130_0210#0,"""考慮那種無聊事情的我<br>真是一個大笨蛋……"""
st_056130_0220#0,"""希望你們幫我將這個國家恢復原狀。<br>拜託了！"""
st_056130_0230#0,"""請擡起頭，瑪露嘉蕾妲大人。<br>你的那份心情我是明白的。<br>只是方法搞錯了而已。"""
st_056130_0240#0,"""所以，錯了的話<br>糾正就好了。<br>……是的吧，守護輝士？"""
st_056130_0250#0,"""真是沒辦法"""
st_056130_0260#0,"""沒辦法放着不管"""
st_056130_0270#0,"""……嘛，也有【深遠之暗】的影響<br>也不能放着不管。<br>瑪露桑也好像在反省了的樣子。"""
st_056130_0280#0,"""嗚……昆特王ー！<br>守護輝士ー！ 還有妖精ー！"""
st_056130_0290#0,"""你們真是太好了ー！<br>以後可能真的會被騙呢ー！"""
st_056130_0300#0,"""我倒是覺得<br>是現在正在被騙呢……"""
st_056130_0310#0,"""……你們兩個也是好人<br>所以真是沒辦法呢。"""
name01#0,"""黑暗・帝王拉比"""
name02#0,"""？？？"""
