st_061130_0230#0,"""這樣一來、頭腦就崩潰了。<br>那麼接下來、要擊潰手脚嗎。"""
st_061130_0240#0,"""我不會讓你這樣做的！"""
st_061130_0250#0,"""提歐！"""
st_061130_0260#0,"""知道！"""
st_061130_0270#0,"""烏魯克小姐<br>提歐德爾君！？"""
st_061130_0280#0,"""來晚了對不起！<br>調整的時候花了時間！"""
st_061130_0290#0,"""但是、状況大體上是知道的！<br>那傢伙有多離譜……！"""
st_061130_0300#0,"""身爲總司令您真是辛苦了。<br>你打算用這樣的機械人偶<br>來對付我嗎？"""
st_061130_0310#0,"""開玩笑。<br>那不是我的任務。"""
st_061130_0320#0,"""絶対命令（深淵）、封印解除！<br>総司令権限、絶対命令行使！"""
st_061130_0330#0,"""ARKS全員、即時撤退！<br>強制転送！"""
st_061130_0340#0,"""母艦・夏歐……放棄！"""
