st_057120_0010#0,"""怎麼會！？<br>即使是<%me>桑的力量<br>也幾乎沒有效果……！"""
st_057120_0020#0,"""呵呵、啊哈哈、哈哈哈哈！<br>果然很厲害啊守護輝士！<br>到現在為止最開心了！"""
st_057120_0030#0,"""有對手、有對手<br>真是讓人心情舒暢啊……！<br>第一次有這樣清爽的心情！"""
st_057120_0040#0,"""已經放棄了"""
st_057120_0050#0,"""這樣的戰鬥、有什麼意義"""
st_057120_0060#0,"""爲什麼一定要放棄呢？<br>戰鬥需要意義嗎？<br>遊戲需要意義嗎？"""
st_057120_0070#0,"""那就告訴我吧、守護輝士。<br>為什麼我不得不<br>孤零零一個人呢？"""
st_057120_0080#0,"""爲什麼總是要一個人<br>被關起來呢？"""
st_057120_0090#0,"""想和誰見面、想和誰在一起。<br>想要說話的對象、想要吵架的對象。"""
st_057120_0100#0,"""想要朋友、朋友、想要想要<br>想要想要想要想要想要想要<br>想要想要想要想要想要！"""
st_057120_0110#0,"""所以、我要交朋友……<br>所以、我被選中了……<br>按照那個聲音、使用力量……"""
st_057120_0120#0,"""因爲、我……<br>我不是小白鼠<br>我……是……芙洛…………"""
st_057120_0130#0,"""芙洛君、你到底在說什麼……？"""
st_057120_0140#0,"""……記憶很混亂。<br>那是芙洛但也不是芙洛。<br>原初的記憶、混雜在一起。"""
st_057120_0150#0,"""……呃？<br>克拉麗莎、桑？"""
st_057120_0160#0,"""【双子】的原初在於孤独。<br>你能拯救那個嗎？"""
st_057120_0170#0,"""……試試看"""
st_057120_0180#0,"""當然"""
st_057120_0190#0,"""……那麼<br>我來引導你吧。<br>爲了拯救那個孩子。"""
st_057120_0200#0,"""克拉麗莎？"""
st_057120_0210#0,"""芙洛……就這樣結束吧。<br>我們、都錯了。"""
st_057120_0220#0,"""錯了？　我什麼都沒有錯啊？<br>因爲你看、有這麼多朋友<br>在我身邊！"""
st_057120_0230#0,"""……克拉麗莎？"""
st_057120_0240#0,"""無論是過去、還是現在、對你的孤獨<br>視而不見的我們是有罪的。"""
st_057120_0250#0,"""無論擁有多麼強大的力量<br>你還是個孩子、是一個人。<br>忘記了這一點的我們有責任。"""
st_057120_0260#0,"""只有通過破壞才能感受到其他<br>原初的孩子、已經結束了。<br>結束的時刻、到來了。"""
st_057120_0270#0,"""……搞不懂啊、克拉麗莎。"""
st_057120_0280#0,"""但是、爲什麼呢。<br>爲什麼我會<br>覺得悲傷呢？"""
st_057120_0290#0,"""因爲、一切都已經結束了。"""
st_057120_0300#0,"""但是、我、我……<br>我、不想再寂寞下去了！"""
st_057120_0310#0,"""……芙洛<br>解放吧。"""
st_057120_0320#0,"""……是啊、還有這樣的事呢。<br>曾經有過這樣的事情啊。"""
st_057120_0330#0,"""啊啊、看到了無聊的東西。<br>無聊的事、回憶起來了。<br>如果能忘記這些去玩的話、就很開心了。"""
st_057120_0340#0,"""芙洛……是嗎？"""
st_057120_0350#0,"""……【双子】？"""
st_057120_0360#0,"""那個問題、不是現在才提的嗎？<br>我是芙洛也是【双子】。<br>證據是……"""
st_057120_0370#0,"""你看、嚇到了嗎？<br>嚇了一跳？"""
st_057120_0380#0,"""我是芙洛。<br>我就是從我自己誕生出的。"""
st_057120_0390#0,"""話雖如此、到底誰是誰<br>我和我都不記得了。<br>這些都無所謂了。"""
st_057120_0400#0,"""是的。至於誰是誰<br>那已經無關緊要了。"""
st_057120_0410#0,"""是利用了還是被利用了<br>那個也已經不記得了。"""
st_057120_0420#0,"""因爲一直活到了現在。"""
st_057120_0430#0,"""因爲、一直活到了現在。"""
st_057120_0440#0,"""這樣也很好。真是太好了。<br>只要、開心就好。"""
st_057120_0450#0,"""……所以、現在非常不開心。<br>是有人在利用我們吧。"""
st_057120_0460#0,"""有很討厭的香味哦。<br>簡直就像你一樣奇怪的香味。"""
st_057120_0470#0,"""我的力量、也被那傢伙<br>帶走了很多。"""
st_057120_0480#0,"""所以、我要給你力量。<br>由你去阻止他。<br>就是這樣的交換條件。"""
st_057120_0490#0,"""因爲、那樣的話。<br>只要他不在了<br>紛爭就不會再發生了。"""
st_057120_0500#0,"""是什麼風把你吹回來？"""
st_057120_0510#0,"""目的是什麼？"""
st_057120_0520#0,"""我是芙洛。【双子】之源。<br>我最初的願望、只有一個。"""
st_057120_0530#0,"""創造一個沒有紛爭的世界<br>大家一起愉快地玩耍。"""
st_057120_0540#0,"""……振作點！<br>請振作起來！"""
st_057120_0550#0,"""……<%me>桑！<br>能醒過來真是太好了！<br>我很擔心啊！"""
st_057120_0560#0,"""芙洛呢……？"""
st_057120_0570#0,"""全部消失了嗎……？"""
st_057120_0580#0,"""芙洛君……被克拉麗莎桑<br>抱着、消失了。<br>以及他所創造的一切……"""
st_057120_0590#0,"""<%me>桑……<br>你和芙洛君、說過話了嗎？"""
st_057120_0600#0,"""……是利用芙洛君的存在。<br>你說的是埃爾米爾吧。"""
st_057120_0610#0,"""周圍沒有反應……<br>到底躲在哪裏呢。"""
st_057120_0620#0,"""不管怎樣、這樣伊斯＝阿魯斯的<br>魔物增殖應該穩定下來了。<br>趕緊和哈莉艾特匯合吧。"""
name01#0,"""芙洛"""
name02#0,"""？？？"""
