un_012230_0010#0,"""話說回來。<br>你有看過人家<br>登台表演吧？"""
un_012230_0015#0,"""只看過實況轉播？<br>也罷，那樣也好。"""
un_012230_0020#0,"""難得這個機會，<br>跟人家說說看感想啦！"""
un_012230_0030#0,"""歌聲很棒"""
un_012230_0040#0,"""動作很俐落"""
un_012230_0050#0,"""很好。"""
un_012230_0060#0,"""不理想。"""
un_012230_0070#0,"""啊，是喔？<br>......嗯，謝謝你。"""
un_012230_0080#0,"""當然啦，那是人家的招牌咩？<br>本身也從事著ARKS的活動，<br>動作當然一定要俐落啦！"""
un_012230_0090#0,"""喂喂喂，這回答太空泛，<br>人家不知道你到你在說哪邊很好耶？"""
un_012230_0100#0,"""咦－－，真的麼？<br>是哪邊，哪邊你覺得不理想啊？"""
un_012230_0110#0,"""......不過呢，說真的，<br>人家並不是那麼喜歡<br>類似偶像一般的工作。"""
un_012230_0120#0,"""抱歉逼著你說感想。<br>不過，總覺得就算人家稱讚，<br>自己也沒什麼真實感......"""
un_012230_0130#0,"""感覺站在那裡的<br>是個不是我的陌生人。"""
un_012230_0140#0,"""大眾究竟是在看著誰呢？<br>偶爾我會這麼想。"""
un_012230_0150#0,"""大眾拼命為其歡呼的那個人<br>又究竟是誰呢。"""
un_012230_0160#0,"""不過，只有歌......只有歌不一樣。<br>不管聲音如何，<br>總是從人家的嘴裡唱出來的。"""
un_012230_0170#0,"""嗯，沒錯。只有歌聲，連那傢伙<br>也聽得很高興......"""
un_012230_0180#0,"""雖然人家已經搞不清楚<br>到底哪一個才是真正的自己......<br>但是，人家是喜歡歌的。"""
un_012230_0190#0,"""A.P.238/4/17"""
