st_065090_0010#0,"""……可惜啊。<br>真是可惜啊。"""
st_065090_0020#0,"""我的勝利沒能實現。<br>歷史還是會重演的。"""
st_065090_0030#0,"""歷史的重演？"""
st_065090_0040#0,"""那是什麼意思？"""
st_065090_0050#0,"""就是字面意思。<br>我們的結局、終究只是世界的容器。"""
st_065090_0060#0,"""循環往復、循環往復。<br>我和你所記錄下來的歷史……<br>從一開始、就是重複的。"""
st_065090_0070#0,"""最後問你、<%me>。"""
st_065090_0080#0,"""是毀滅世界、還是自己消失。<br>如果讓你選的話、你會選哪個？"""
st_065090_0090#0,"""只要有光子存在……<br>不、只要有我和你在<br>我們就要繼續進行選擇。"""
st_065090_0100#0,"""<%me>ッ！？"""
st_065090_0110#0,"""<%me>身體內部<br>高濃度的黑暗種因子反應！？<br>是從身體哪裡產生的啊！？"""
st_065090_0120#0,"""難道是、最初【深遠之暗】……？<br>依附到<%me>上……！"""
st_065090_0130#0,"""原初的【深遠之暗】是<br>光子的對立面。<br>不是誕生出來的、而是一直存在於此。"""
st_065090_0140#0,"""擁有強大力量的宿主示巴已經消失了。<br>這樣一來、自然會寄宿在<br>擁有同樣的力量的你身上。"""
st_065090_0150#0,"""你……會怎麼做呢。"""
st_065090_0160#0,"""如果這是全部的破减意志的話……"""
st_065090_0170#0,"""去一個、不會破滅的地方……"""
st_065090_0180#0,"""……是啊。<br>我認為、我自己也會這麼說。"""
st_065090_0190#0,"""以<%me>為<br>中心的強大的次元彎曲反應！<br>你打算傳送到什麼地方嗎！？"""
st_065090_0200#0,"""不、這是……時間回溯！？<br>難道、<%me>！<br>你想回到過去！？"""
st_065090_0210#0,"""不行！<br>不行不行、<%me>！"""
st_065090_0220#0,"""<%me>……！<br><%me>啊啊啊啊！！"""
