REPORT_BAD_FAV4#0,"""主人......<br>辜負了你的期待<br>真的抱歉。"""
REPORT_BAD_FAV3#0,"""無法獲得令人滿意的成果。<br>雖然已經竭盡全力了......"""
REPORT_BAD_FAV2#0,"""但成果報告......<br>失敗，只能這麼說...。<br>......對不起。"""
REPORT_BAD_FAV1#0,"""不得不說結果失敗了。"""
REPORT_BAD_FAV0#0,"""失敗。<br>真是非常抱歉。"""
REPORT_BAD_FAV4#1,"""真的很抱歉！<br>這絕對不是藉口，<br>很多事都很不如意..."""
REPORT_BAD_FAV3#1,"""已經看到了你的努力...<br>抱歉，說不定會失敗。"""
REPORT_BAD_FAV2#1,"""失敗為成功之母。<br>下次再努力吧！。"""
REPORT_BAD_FAV1#1,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#1,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#2,"""好不容易受到委託<br>竟然變成這樣......實在很抱歉！"""
REPORT_BAD_FAV3#2,"""已經竭心盡力地試著去做了，<br>但是失敗了，就毫無意義......"""
REPORT_BAD_FAV2#2,"""......對不起。<br>結果不如預期。"""
REPORT_BAD_FAV1#2,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#2,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#3,"""......說到這，就是沒用。<br>辜負了期待，自己<br>比誰都惱怒。"""
REPORT_BAD_FAV3#3,"""已經盡全力了......<br>失敗了，不要找藉口。"""
REPORT_BAD_FAV2#3,"""......抱歉。<br>能力不夠。"""
REPORT_BAD_FAV1#3,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#3,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#4,"""有點......不是很順利<br>下一次，下次一定會做好！<br>......抱歉。"""
REPORT_BAD_FAV3#4,"""已經全力以赴了！<br>實在奇怪呢......"""
REPORT_BAD_FAV2#4,"""......有點...是我的能力不足。"""
REPORT_BAD_FAV1#4,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#4,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#5,"""......真的很對不起。<br>難得你願意委託我<br>卻辜負了期待......"""
REPORT_BAD_FAV3#5,"""明明很努力的......<br>有點兒使不上力，<br>就是如此了......對不起。"""
REPORT_BAD_FAV2#5,"""......對不起。<br>是我的能力不足。"""
REPORT_BAD_FAV1#5,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#5,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#6,"""很抱歉，失敗了......<br>已經非...常努力了<br>就差那麼一點點......"""
REPORT_BAD_FAV3#6,"""卯足全力挑戰的結果......<br>卻犧牲了！　很抱歉！"""
REPORT_BAD_FAV2#6,"""......抱歉，失敗了。<br>我的能力不足。"""
REPORT_BAD_FAV1#6,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#6,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#7,"""......抱歉。<br>絕對不敢掉以輕心<br>究竟為什麼會如此......抱歉。"""
REPORT_BAD_FAV3#7,"""過意不去......<br>覺得做了背叛期待的行為<br>......"""
REPORT_BAD_FAV2#7,"""......比我想像的<br>做得更不好。"""
REPORT_BAD_FAV1#7,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#7,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#8,"""......真是抱歉。<br>全部都是因為我的能力不足。<br>結果不甚理想。"""
REPORT_BAD_FAV3#8,"""已經全力嘗試去做了......<br>很抱歉，失敗了。"""
REPORT_BAD_FAV2#8,"""......我的能力不足。<br>真是抱歉。"""
REPORT_BAD_FAV1#8,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#8,"""REPORT_BAD_FAV0<br>Debug_Error"""
